onset	duration	ACC	RT	condition
344827	2000	1	578	1
347063	2000	1	588	1
349298	2000	1	558	1
351550	2000	1	"""n/a"""	2
353803	2000	1	648	1
356072	2000	1	610	1
358340	2000	0	"""n/a"""	2
360609	2000	0	"""n/a"""	2
362845	2000	1	412	1
365097	2000	0	"""n/a"""	2
367365	2000	1	353	1
369618	2000	1	809	1
371871	2000	1	600	1
374156	2000	0	"""n/a"""	2
376424	2000	1	507	1
378678	2000	0	"""n/a"""	2
380913	2000	1	677	1
383165	2000	1	616	1
385418	2000	0	"""n/a"""	2
387670	2000	1	830	1
389954	2000	1	820	1
392207	2000	1	920	1
394476	2000	0	"""n/a"""	2
396729	2000	1	670	1
399013	2000	1	842	1
401266	2000	1	889	1
403519	2000	1	849	1
405803	2000	0	"""n/a"""	2
408072	2000	1	746	1
410325	2000	0	0	1
412578	2000	1	544	1
414862	2000	1	"""n/a"""	2
417115	2000	1	758	1
419368	2000	1	685	1
421653	2000	0	"""n/a"""	2
423921	2000	1	643	1
426174	2000	1	615	1
428427	2000	1	726	1
430711	2000	1	"""n/a"""	2
432964	2000	1	894	1
435217	2000	1	681	1
437486	2000	1	661	1
439770	2000	1	"""n/a"""	2
442023	2000	1	602	1
444276	2000	1	471	1
446560	2000	1	"""n/a"""	2
448813	2000	1	700	1
451082	2000	0	"""n/a"""	2
453335	2000	1	610	1
455619	2000	1	734	1
457872	2000	1	670	1
460125	2000	1	778	1
462409	2000	0	"""n/a"""	2
464678	2000	1	465	1
466947	2000	1	798	1
469201	2000	0	"""n/a"""	2
471453	2000	1	671	1
473722	2000	1	668	1
475990	2000	1	802	1
478259	2000	0	"""n/a"""	2
480512	2000	1	863	1
482781	2000	0	0	1
485049	2000	1	807	1
487318	2000	1	"""n/a"""	2
489586	2000	1	857	1
491840	2000	1	"""n/a"""	2
494092	2000	1	813	1
496361	2000	1	729	1
498630	2000	1	"""n/a"""	2
500898	2000	1	756	1
503167	2000	1	"""n/a"""	2
505435	2000	1	801	1
507704	2000	1	817	1
509957	2000	1	715	1
512226	2000	0	"""n/a"""	2
514479	2000	1	744	1
516763	2000	1	832	1
519016	2000	1	654	1
521269	2000	1	813	1
523505	2000	1	"""n/a"""	2
525757	2000	1	829	1
528009	2000	1	819	1
530244	2000	1	693	1
532496	2000	0	"""n/a"""	2
534732	2000	1	664	1
536984	2000	1	"""n/a"""	2
539237	2000	1	682	1
541472	2000	1	676	1
543708	2000	1	670	1
545944	2000	0	"""n/a"""	2
548179	2000	1	598	1
550414	2000	1	484	1
552650	2000	1	456	1
554886	2000	0	"""n/a"""	2
557121	2000	1	674	1
559356	2000	0	0	1
561593	2000	0	"""n/a"""	2
563828	2000	1	551	1
566063	2000	1	675	1
568299	2000	1	848	1
570535	2000	0	"""n/a"""	2
572770	2000	1	759	1
575005	2000	0	0	1
577241	2000	1	332	1
579494	2000	0	"""n/a"""	2
581729	2000	1	525	1
583964	2000	1	577	1
586216	2000	1	"""n/a"""	2
588485	2000	1	"""n/a"""	2
590738	2000	1	952	1
592990	2000	1	913	1
595226	2000	1	"""n/a"""	2
597478	2000	1	889	1
599730	2000	1	877	1
601966	2000	0	"""n/a"""	2
604218	2000	0	978	1
606502	2000	1	666	1
608771	2000	1	895	1
611024	2000	1	982	1
613293	2000	0	"""n/a"""	2
683012	2000	1	406	1
685281	2000	1	"""n/a"""	2
687534	2000	1	384	1
689818	2000	1	533	1
692071	2000	1	439	1
694339	2000	1	"""n/a"""	2
696592	2000	1	434	1
698845	2000	1	374	1
701114	2000	1	417	1
703398	2000	1	"""n/a"""	2
705651	2000	1	430	1
707904	2000	1	442	1
710173	2000	0	519	1
712457	2000	1	"""n/a"""	2
714710	2000	1	620	1
716979	2000	1	"""n/a"""	2
719232	2000	1	482	1
721516	2000	1	725	1
723770	2000	0	"""n/a"""	2
726022	2000	1	476	1
728306	2000	1	586	1
730559	2000	1	418	1
732828	2000	1	"""n/a"""	2
735081	2000	1	488	1
737350	2000	1	452	1
739618	2000	0	378	1
741887	2000	1	"""n/a"""	2
744140	2000	1	667	1
746424	2000	1	690	1
748677	2000	1	648	1
750930	2000	1	681	1
753214	2000	0	"""n/a"""	2
755483	2000	1	632	1
757736	2000	1	603	1
759989	2000	1	631	1
762273	2000	0	"""n/a"""	2
764526	2000	1	603	1
766779	2000	1	637	1
769064	2000	0	"""n/a"""	2
771332	2000	1	388	1
773585	2000	1	543	1
775854	2000	1	"""n/a"""	2
778107	2000	1	566	1
780391	2000	1	"""n/a"""	2
782644	2000	1	918	1
784897	2000	1	694	1
787181	2000	1	"""n/a"""	2
789434	2000	1	668	1
791687	2000	1	870	1
793956	2000	0	817	1
796240	2000	1	699	1
798494	2000	1	"""n/a"""	2
800762	2000	1	"""n/a"""	2
803031	2000	1	729	1
805283	2000	1	515	1
807552	2000	0	"""n/a"""	2
809805	2000	1	375	1
812089	2000	1	626	1
814342	2000	1	617	1
816611	2000	1	"""n/a"""	2
818864	2000	1	679	1
821148	2000	1	605	1
823402	2000	1	"""n/a"""	2
825654	2000	1	496	1
827938	2000	1	489	1
830191	2000	1	700	1
832460	2000	0	"""n/a"""	2
834713	2000	1	470	1
