onset	duration	ACC	RT	condition
268723	2000	1	272	1
270992	2000	1	390	1
273276	2000	1	328	1
275529	2000	1	257	1
277798	2000	1	"""n/a"""	2
280051	2000	1	367	1
282319	2000	0	"""n/a"""	2
284572	2000	1	290	1
286841	2000	1	449	1
289125	2000	1	436	1
291379	2000	0	"""n/a"""	2
293631	2000	1	460	1
295900	2000	1	418	1
298184	2000	0	"""n/a"""	2
300438	2000	1	"""n/a"""	2
302690	2000	1	363	1
304959	2000	1	391	1
307243	2000	1	495	1
309497	2000	0	"""n/a"""	2
311749	2000	1	376	1
314018	2000	1	276	1
316286	2000	1	406	1
318555	2000	1	"""n/a"""	2
320808	2000	1	408	1
323092	2000	1	544	1
325345	2000	1	541	1
327614	2000	0	"""n/a"""	2
329867	2000	1	536	1
332151	2000	1	437	1
334404	2000	1	442	1
336657	2000	1	413	1
338941	2000	1	"""n/a"""	2
341194	2000	1	251	1
343447	2000	1	421	1
345732	2000	0	"""n/a"""	2
347985	2000	1	397	1
350253	2000	1	373	1
352506	2000	1	428	1
354791	2000	1	"""n/a"""	2
357059	2000	1	396	1
359312	2000	1	463	1
361581	2000	1	"""n/a"""	2
363834	2000	1	465	1
366118	2000	1	"""n/a"""	2
368371	2000	1	580	1
370624	2000	1	614	1
372893	2000	1	611	1
375177	2000	0	"""n/a"""	2
377430	2000	1	545	1
379699	2000	1	"""n/a"""	2
381952	2000	1	618	1
384220	2000	1	762	1
386489	2000	0	"""n/a"""	2
388742	2000	1	336	1
391026	2000	0	0	1
393280	2000	1	"""n/a"""	2
395532	2000	1	340	1
397801	2000	1	477	1
400085	2000	1	784	1
402339	2000	0	"""n/a"""	2
404591	2000	1	525	1
406860	2000	1	535	1
409128	2000	1	507	1
411381	2000	1	621	1
413666	2000	0	"""n/a"""	2
415934	2000	0	"""n/a"""	2
418187	2000	1	374	1
420440	2000	1	620	1
422709	2000	1	423	1
424993	2000	0	"""n/a"""	2
427246	2000	1	360	1
429499	2000	0	762	1
431768	2000	1	723	1
434037	2000	1	"""n/a"""	2
436305	2000	1	568	1
438558	2000	1	681	1
440842	2000	1	"""n/a"""	2
443095	2000	1	534	1
445331	2000	1	562	1
447567	2000	1	469	1
449803	2000	0	"""n/a"""	2
452038	2000	1	472	1
454273	2000	1	606	1
456525	2000	1	"""n/a"""	2
458778	2000	1	584	1
461031	2000	0	"""n/a"""	2
463265	2000	1	416	1
465501	2000	1	767	1
467752	2000	0	"""n/a"""	2
469989	2000	1	360	1
472225	2000	1	"""n/a"""	2
474477	2000	1	310	1
476712	2000	1	461	1
478948	2000	1	926	1
481184	2000	1	"""n/a"""	2
483435	2000	1	457	1
485688	2000	1	445	1
487957	2000	1	515	1
490226	2000	1	"""n/a"""	2
492478	2000	0	364	1
494747	2000	1	885	1
497016	2000	1	317	1
499284	2000	1	835	1
501553	2000	1	"""n/a"""	2
503806	2000	1	847	1
506090	2000	0	"""n/a"""	2
508343	2000	1	811	1
510596	2000	1	586	1
512880	2000	0	"""n/a"""	2
515149	2000	1	355	1
517402	2000	1	548	1
519655	2000	1	700	1
521939	2000	1	"""n/a"""	2
524192	2000	1	507	1
526445	2000	1	869	1
528714	2000	1	426	1
530998	2000	0	"""n/a"""	2
533251	2000	1	391	1
535504	2000	1	376	1
537788	2000	1	"""n/a"""	2
578647	2000	1	"""n/a"""	2
580899	2000	1	273	1
583183	2000	0	"""n/a"""	2
585452	2000	1	372	1
