onset	duration	ACC	RT	condition
291714	2000	1	612	1
293950	2000	0	315	1
296186	2000	1	"""n/a"""	2
298438	2000	0	338	1
300673	2000	1	620	1
302925	2000	1	"""n/a"""	2
305178	2000	1	610	1
307413	2000	1	870	1
309649	2000	1	671	1
311885	2000	1	"""n/a"""	2
314152	2000	1	692	1
316421	2000	1	717	1
318674	2000	1	620	1
320943	2000	0	"""n/a"""	2
323212	2000	1	"""n/a"""	2
325481	2000	1	631	1
327749	2000	1	469	1
330002	2000	0	306	1
332255	2000	0	398	1
334540	2000	0	"""n/a"""	2
336793	2000	1	513	1
339061	2000	1	516	1
341330	2000	1	380	1
343598	2000	1	"""n/a"""	2
345852	2000	1	422	1
348104	2000	1	590	1
350340	2000	0	"""n/a"""	2
352607	2000	1	546	1
354860	2000	1	462	1
357113	2000	1	464	1
359397	2000	0	"""n/a"""	2
361650	2000	1	302	1
363903	2000	0	300	1
366172	2000	1	524	1
368456	2000	1	473	1
370710	2000	1	"""n/a"""	2
372962	2000	1	515	1
375231	2000	1	664	1
377499	2000	1	538	1
379768	2000	1	"""n/a"""	2
382021	2000	1	519	1
384290	2000	1	731	1
386574	2000	0	"""n/a"""	2
388827	2000	1	566	1
391096	2000	0	"""n/a"""	2
393349	2000	1	523	1
395633	2000	0	"""n/a"""	2
397902	2000	0	0	1
400155	2000	1	805	1
402408	2000	1	889	1
404692	2000	0	"""n/a"""	2
406945	2000	1	438	1
409214	2000	1	"""n/a"""	2
411482	2000	0	0	1
413719	2000	1	893	1
415988	2000	1	639	1
418272	2000	1	"""n/a"""	2
420541	2000	0	316	1
422794	2000	1	605	1
425063	2000	1	"""n/a"""	2
427316	2000	0	0	1
429600	2000	1	847	1
431853	2000	1	633	1
434122	2000	1	"""n/a"""	2
436375	2000	1	616	1
438659	2000	1	589	1
440912	2000	1	603	1
443181	2000	0	"""n/a"""	2
445434	2000	1	486	1
447718	2000	1	560	1
449971	2000	1	455	1
452240	2000	0	"""n/a"""	2
454493	2000	1	503	1
456777	2000	0	308	1
459046	2000	1	"""n/a"""	2
461299	2000	1	543	1
463552	2000	0	0	1
465836	2000	1	"""n/a"""	2
468089	2000	1	806	1
470342	2000	1	643	1
472611	2000	1	500	1
474895	2000	1	643	1
477149	2000	0	"""n/a"""	2
479401	2000	1	514	1
481685	2000	1	592	1
483938	2000	1	667	1
486207	2000	0	"""n/a"""	2
488460	2000	1	460	1
490744	2000	1	359	1
492998	2000	1	"""n/a"""	2
495250	2000	1	725	1
497535	2000	1	"""n/a"""	2
499803	2000	0	"""n/a"""	2
502056	2000	1	641	1
504309	2000	1	629	1
506594	2000	0	"""n/a"""	2
508862	2000	1	596	1
511115	2000	1	509	1
513384	2000	1	"""n/a"""	2
515637	2000	1	309	1
517906	2000	0	279	1
520158	2000	1	492	1
522394	2000	1	"""n/a"""	2
524646	2000	0	0	1
526882	2000	1	"""n/a"""	2
529133	2000	1	858	1
531385	2000	0	"""n/a"""	2
533621	2000	0	390	1
535857	2000	1	775	1
538092	2000	0	546	1
540344	2000	1	"""n/a"""	2
542597	2000	1	828	1
544832	2000	1	760	1
547084	2000	1	500	1
549353	2000	1	"""n/a"""	2
551621	2000	0	0	1
553858	2000	1	956	1
556110	2000	1	566	1
558362	2000	1	674	1
560614	2000	0	"""n/a"""	2
614451	2000	1	699	1
616687	2000	1	641	1
618955	2000	1	"""n/a"""	2
621208	2000	1	555	1
623460	2000	1	906	1
625696	2000	1	837	1
627949	2000	0	"""n/a"""	2
630200	2000	1	615	1
632468	2000	1	835	1
634705	2000	1	598	1
636990	2000	1	"""n/a"""	2
639243	2000	1	462	1
641527	2000	1	383	1
643764	2000	1	585	1
646049	2000	0	"""n/a"""	2
648285	2000	1	596	1
650538	2000	0	"""n/a"""	2
652773	2000	1	699	1
655025	2000	1	505	1
657277	2000	1	572	1
659530	2000	0	"""n/a"""	2
661765	2000	1	548	1
664001	2000	1	826	1
666269	2000	1	566	1
668522	2000	1	719	1
670806	2000	0	"""n/a"""	2
673059	2000	1	447	1
675328	2000	1	"""n/a"""	2
677581	2000	1	613	1
679865	2000	1	"""n/a"""	2
682118	2000	1	585	1
684371	2000	1	682	1
686655	2000	0	"""n/a"""	2
688908	2000	1	484	1
691161	2000	1	551	1
693413	2000	1	410	1
695666	2000	0	"""n/a"""	2
697901	2000	1	549	1
700136	2000	1	622	1
702404	2000	1	723	1
704673	2000	1	"""n/a"""	2
706926	2000	1	894	1
709179	2000	1	848	1
711448	2000	1	655	1
713732	2000	0	"""n/a"""	2
715986	2000	1	"""n/a"""	2
718254	2000	1	502	1
720507	2000	1	468	1
722791	2000	1	621	1
725028	2000	0	401	1
727313	2000	1	"""n/a"""	2
729566	2000	1	588	1
731835	2000	1	717	1
734119	2000	1	"""n/a"""	2
736372	2000	1	606	1
738608	2000	1	541	1
740859	2000	0	"""n/a"""	2
743112	2000	1	402	1
745365	2000	1	616	1
747618	2000	1	"""n/a"""	2
749886	2000	1	633	1
752138	2000	1	321	1
754390	2000	1	179	1
756658	2000	1	"""n/a"""	2
758927	2000	1	356	1
761180	2000	0	351	1
763433	2000	1	610	1
765702	2000	1	610	1
767986	2000	1	"""n/a"""	2
770239	2000	0	462	1
772492	2000	1	731	1
774777	2000	0	"""n/a"""	2
777013	2000	1	860	1
779266	2000	1	"""n/a"""	2
781517	2000	1	813	1
783770	2000	1	638	1
786038	2000	0	"""n/a"""	2
788274	2000	1	857	1
790526	2000	1	550	1
792778	2000	1	787	1
795047	2000	1	"""n/a"""	2
797300	2000	1	459	1
799569	2000	1	495	1
801837	2000	1	628	1
804074	2000	1	"""n/a"""	2
806325	2000	1	567	1
808577	2000	1	882	1
810830	2000	1	637	1
813098	2000	0	"""n/a"""	2
815351	2000	1	684	1
817603	2000	1	907	1
819856	2000	0	"""n/a"""	2
822108	2000	0	358	1
824392	2000	1	728	1
826645	2000	1	558	1
828914	2000	0	"""n/a"""	2
831167	2000	1	492	1
833451	2000	1	450	1
835705	2000	1	329	1
837957	2000	0	320	1
840241	2000	0	"""n/a"""	2
842495	2000	1	"""n/a"""	2
844747	2000	1	631	1
847016	2000	1	474	1
849285	2000	1	666	1
851569	2000	1	"""n/a"""	2
853822	2000	1	420	1
