onset	duration	ACC	RT	condition
260225	2000	0	0	1
262460	2000	1	557	1
264696	2000	1	450	1
266932	2000	1	"""n/a"""	2
269184	2000	1	517	1
271452	2000	1	517	1
273721	2000	0	"""n/a"""	2
275989	2000	0	"""n/a"""	2
278242	2000	1	538	1
280495	2000	1	800	1
282747	2000	1	892	1
285000	2000	0	"""n/a"""	2
287251	2000	1	602	1
289504	2000	1	626	1
291788	2000	0	"""n/a"""	2
294041	2000	1	771	1
296294	2000	1	620	1
298563	2000	1	820	1
300847	2000	0	"""n/a"""	2
303100	2000	1	376	1
305353	2000	1	396	1
307637	2000	1	"""n/a"""	2
309906	2000	1	691	1
312159	2000	1	627	1
314428	2000	1	"""n/a"""	2
316681	2000	1	823	1
318965	2000	0	0	1
321202	2000	1	957	1
323470	2000	0	"""n/a"""	2
325723	2000	1	460	1
327976	2000	0	"""n/a"""	2
330243	2000	1	409	1
332497	2000	0	"""n/a"""	2
334749	2000	1	373	1
337033	2000	1	671	1
339286	2000	1	885	1
341555	2000	0	"""n/a"""	2
343808	2000	1	467	1
346092	2000	1	591	1
348345	2000	1	741	1
350614	2000	0	"""n/a"""	2
352867	2000	1	454	1
355151	2000	1	"""n/a"""	2
357404	2000	0	0	1
359657	2000	0	0	1
361909	2000	0	0	1
364161	2000	0	0	1
366414	2000	0	"""n/a"""	2
368666	2000	1	748	1
370950	2000	1	914	1
373204	2000	0	"""n/a"""	2
375456	2000	1	621	1
377725	2000	1	761	1
380009	2000	1	895	1
382278	2000	1	907	1
384532	2000	0	"""n/a"""	2
386784	2000	1	750	1
389068	2000	1	708	1
391321	2000	1	996	1
393590	2000	0	"""n/a"""	2
395858	2000	1	"""n/a"""	2
398111	2000	0	0	1
400347	2000	1	939	1
402598	2000	0	"""n/a"""	2
404835	2000	1	716	1
407070	2000	1	910	1
409322	2000	0	"""n/a"""	2
411558	2000	1	792	1
413810	2000	0	"""n/a"""	2
416046	2000	1	674	1
418282	2000	0	0	1
420534	2000	0	0	1
422770	2000	0	"""n/a"""	2
425005	2000	1	601	1
427240	2000	1	761	1
429476	2000	1	944	1
431712	2000	0	"""n/a"""	2
433947	2000	1	662	1
436199	2000	1	772	1
438451	2000	1	868	1
440720	2000	0	"""n/a"""	2
442973	2000	1	607	1
445257	2000	1	"""n/a"""	2
447526	2000	0	0	1
449763	2000	1	983	1
452032	2000	0	0	1
454284	2000	0	0	1
456552	2000	0	"""n/a"""	2
458805	2000	0	0	1
461056	2000	1	778	1
463310	2000	1	"""n/a"""	2
465562	2000	1	928	1
467831	2000	0	0	1
470099	2000	0	"""n/a"""	2
472352	2000	1	817	1
474637	2000	1	"""n/a"""	2
476905	2000	0	0	1
479142	2000	0	0	1
481394	2000	0	0	1
483662	2000	0	"""n/a"""	2
485915	2000	1	749	1
488167	2000	1	708	1
490420	2000	1	907	1
492704	2000	0	"""n/a"""	2
494973	2000	1	884	1
497226	2000	1	792	1
499479	2000	1	829	1
501763	2000	0	"""n/a"""	2
504032	2000	1	632	1
506285	2000	1	565	1
508538	2000	1	709	1
510807	2000	0	0	1
513091	2000	0	"""n/a"""	2
515344	2000	1	667	1
517597	2000	0	0	1
519882	2000	1	"""n/a"""	2
522150	2000	0	0	1
524387	2000	1	996	1
526656	2000	1	796	1
528941	2000	1	"""n/a"""	2
707685	2000	0	0	1
709921	2000	1	936	1
712156	2000	1	773	1
714425	2000	1	"""n/a"""	2
716678	2000	1	679	1
718947	2000	1	747	1
721231	2000	1	"""n/a"""	2
723484	2000	1	749	1
725737	2000	1	903	1
728021	2000	0	0	1
730274	2000	0	0	1
732526	2000	0	"""n/a"""	2
734779	2000	1	464	1
737031	2000	1	573	1
739283	2000	1	804	1
741535	2000	0	"""n/a"""	2
743788	2000	1	547	1
746056	2000	1	"""n/a"""	2
748309	2000	1	727	1
750561	2000	0	0	1
752813	2000	0	0	1
755081	2000	0	"""n/a"""	2
757350	2000	1	498	1
759603	2000	1	678	1
761872	2000	1	"""n/a"""	2
764141	2000	0	"""n/a"""	2
766394	2000	0	0	1
768646	2000	0	0	1
770898	2000	0	0	1
773150	2000	0	0	1
775403	2000	0	"""n/a"""	2
777655	2000	1	724	1
779924	2000	0	0	1
782176	2000	0	0	1
784444	2000	1	"""n/a"""	2
786697	2000	1	975	1
788949	2000	0	0	1
791201	2000	0	"""n/a"""	2
