onset	duration	ACC	RT	condition
264481	2000	1	331	1
266717	2000	1	309	1
268952	2000	1	265	1
271204	2000	1	"""n/a"""	2
273457	2000	0	695	1
275692	2000	1	363	1
277928	2000	1	397	1
280164	2000	1	"""n/a"""	2
282416	2000	1	449	1
284668	2000	1	450	1
286904	2000	0	"""n/a"""	2
289156	2000	1	375	1
291424	2000	1	902	1
293693	2000	0	"""n/a"""	2
295929	2000	1	551	1
298164	2000	1	573	1
300401	2000	1	"""n/a"""	2
302652	2000	1	528	1
304920	2000	1	"""n/a"""	2
307173	2000	1	414	1
309426	2000	1	494	1
311695	2000	1	451	1
313979	2000	1	"""n/a"""	2
316232	2000	1	494	1
318501	2000	0	"""n/a"""	2
320754	2000	1	445	1
323022	2000	1	543	1
325291	2000	0	"""n/a"""	2
327544	2000	1	751	1
329813	2000	1	502	1
332097	2000	0	547	1
334351	2000	1	"""n/a"""	2
336603	2000	1	422	1
338887	2000	1	888	1
341141	2000	0	"""n/a"""	2
343409	2000	1	"""n/a"""	2
345662	2000	1	522	1
347946	2000	1	609	1
350199	2000	1	579	1
352452	2000	0	497	1
354737	2000	0	"""n/a"""	2
357005	2000	1	538	1
359259	2000	0	"""n/a"""	2
361511	2000	1	376	1
363780	2000	1	848	1
366064	2000	1	669	1
368318	2000	0	"""n/a"""	2
370570	2000	1	564	1
372839	2000	1	804	1
375123	2000	1	927	1
377376	2000	1	973	1
379645	2000	0	"""n/a"""	2
381898	2000	1	442	1
384182	2000	1	547	1
386435	2000	1	403	1
388704	2000	0	"""n/a"""	2
390957	2000	1	813	1
393241	2000	1	952	1
395494	2000	0	0	1
397746	2000	1	"""n/a"""	2
399999	2000	1	433	1
402251	2000	1	978	1
404503	2000	0	0	1
406771	2000	0	"""n/a"""	2
409040	2000	1	508	1
411293	2000	1	620	1
413562	2000	0	"""n/a"""	2
415830	2000	1	475	1
418083	2000	1	639	1
420336	2000	1	626	1
422621	2000	1	"""n/a"""	2
424889	2000	1	485	1
427142	2000	1	842	1
429411	2000	1	"""n/a"""	2
431679	2000	0	0	1
433948	2000	1	"""n/a"""	2
436201	2000	1	439	1
438454	2000	1	523	1
440739	2000	1	"""n/a"""	2
443007	2000	1	459	1
445244	2000	1	634	1
447479	2000	0	0	1
449731	2000	0	"""n/a"""	2
451967	2000	1	438	1
454203	2000	1	444	1
456438	2000	0	500	1
458674	2000	1	952	1
460909	2000	0	"""n/a"""	2
463161	2000	0	381	1
465398	2000	1	"""n/a"""	2
467649	2000	1	603	1
469885	2000	1	536	1
472121	2000	0	"""n/a"""	2
474373	2000	1	486	1
476608	2000	1	600	1
478844	2000	1	673	1
481079	2000	1	713	1
483315	2000	0	"""n/a"""	2
485550	2000	1	569	1
487803	2000	1	558	1
490072	2000	1	408	1
492356	2000	1	"""n/a"""	2
494609	2000	1	682	1
496862	2000	1	415	1
499131	2000	1	666	1
501415	2000	0	"""n/a"""	2
503684	2000	0	395	1
505937	2000	1	604	1
508190	2000	0	0	1
510458	2000	0	"""n/a"""	2
512711	2000	1	447	1
514996	2000	1	"""n/a"""	2
517264	2000	1	678	1
519517	2000	1	456	1
521786	2000	1	"""n/a"""	2
524039	2000	1	554	1
526323	2000	1	751	1
528576	2000	1	472	1
530845	2000	0	"""n/a"""	2
533113	2000	1	"""n/a"""	2
571352	2000	1	494	1
573605	2000	0	376	1
575857	2000	1	461	1
578125	2000	0	"""n/a"""	2
580378	2000	1	452	1
582630	2000	1	410	1
584898	2000	1	"""n/a"""	2
587152	2000	1	"""n/a"""	2
589404	2000	1	393	1
591673	2000	1	627	1
593957	2000	1	"""n/a"""	2
596210	2000	1	502	1
598463	2000	1	627	1
600732	2000	1	482	1
602984	2000	1	652	1
605237	2000	1	"""n/a"""	2
607488	2000	1	448	1
609724	2000	0	687	1
611977	2000	0	"""n/a"""	2
614228	2000	1	757	1
616480	2000	1	436	1
618716	2000	1	554	1
620952	2000	0	"""n/a"""	2
623187	2000	1	310	1
625440	2000	0	"""n/a"""	2
627675	2000	1	491	1
629944	2000	1	535	1
632196	2000	1	747	1
634449	2000	0	"""n/a"""	2
636700	2000	1	326	1
638936	2000	1	563	1
641188	2000	1	820	1
643441	2000	0	"""n/a"""	2
645676	2000	1	465	1
647929	2000	1	"""n/a"""	2
650180	2000	1	641	1
652433	2000	1	505	1
654686	2000	1	"""n/a"""	2
656937	2000	1	626	1
659173	2000	1	764	1
661441	2000	1	559	1
663694	2000	1	771	1
665947	2000	0	"""n/a"""	2
668198	2000	1	584	1
670450	2000	0	"""n/a"""	2
672703	2000	1	493	1
674971	2000	1	652	1
677224	2000	1	531	1
679509	2000	0	"""n/a"""	2
681762	2000	1	484	1
684046	2000	1	467	1
686283	2000	1	459	1
688568	2000	1	"""n/a"""	2
690821	2000	1	600	1
693073	2000	0	0	1
695341	2000	1	"""n/a"""	2
697594	2000	1	708	1
699846	2000	1	400	1
702098	2000	1	564	1
704367	2000	0	"""n/a"""	2
706620	2000	1	567	1
708904	2000	0	"""n/a"""	2
711157	2000	1	649	1
713410	2000	1	625	1
715695	2000	1	"""n/a"""	2
717963	2000	1	"""n/a"""	2
720216	2000	0	814	1
722485	2000	1	"""n/a"""	2
724738	2000	1	537	1
726990	2000	1	491	1
729225	2000	1	489	1
731494	2000	0	"""n/a"""	2
733730	2000	1	560	1
735983	2000	0	"""n/a"""	2
738234	2000	1	684	1
740487	2000	1	557	1
742756	2000	1	856	1
745040	2000	1	500	1
747294	2000	1	"""n/a"""	2
749546	2000	1	858	1
751830	2000	1	738	1
754084	2000	0	"""n/a"""	2
756336	2000	1	589	1
758605	2000	1	626	1
760874	2000	1	615	1
763142	2000	0	"""n/a"""	2
765378	2000	1	562	1
767630	2000	1	529	1
769882	2000	0	979	1
772151	2000	1	"""n/a"""	2
774404	2000	1	505	1
776688	2000	1	511	1
778941	2000	1	526	1
781177	2000	1	961	1
783430	2000	1	"""n/a"""	2
785681	2000	1	566	1
787934	2000	1	623	1
790203	2000	0	0	1
792487	2000	0	"""n/a"""	2
794740	2000	1	410	1
797009	2000	1	443	1
799277	2000	0	"""n/a"""	2
801546	2000	1	830	1
803799	2000	1	588	1
806068	2000	0	"""n/a"""	2
808321	2000	1	462	1
810605	2000	1	635	1
812859	2000	0	"""n/a"""	2
815111	2000	0	0	1
817363	2000	1	516	1
819615	2000	0	432	1
821868	2000	1	"""n/a"""	2
824135	2000	1	502	1
826388	2000	0	0	1
828641	2000	1	532	1
830926	2000	0	"""n/a"""	2
833194	2000	1	457	1
835447	2000	1	564	1
837700	2000	0	0	1
839984	2000	0	"""n/a"""	2
872551	2000	1	431	1
874803	2000	1	628	1
877056	2000	1	"""n/a"""	2
879308	2000	1	326	1
881560	2000	1	418	1
883813	2000	1	"""n/a"""	2
886064	2000	1	433	1
888316	2000	1	664	1
890569	2000	1	432	1
892854	2000	1	"""n/a"""	2
895107	2000	1	486	1
897375	2000	1	504	1
899644	2000	1	"""n/a"""	2
901897	2000	1	485	1
904165	2000	1	461	1
