onset	duration	ACC	RT	condition
550231	2000	1	519	1
552467	2000	1	706	1
554703	2000	0	"""n/a"""	2
556938	2000	1	562	1
559173	2000	1	369	1
561426	2000	1	394	1
563710	2000	1	"""n/a"""	2
565980	2000	1	779	1
568233	2000	0	"""n/a"""	2
570485	2000	1	524	1
572754	2000	1	742	1
575023	2000	0	"""n/a"""	2
577291	2000	1	434	1
579544	2000	1	753	1
581813	2000	1	390	1
584082	2000	1	"""n/a"""	2
586334	2000	1	889	1
588603	2000	1	820	1
590887	2000	1	573	1
593140	2000	1	599	1
595409	2000	0	"""n/a"""	2
597677	2000	1	598	1
599946	2000	1	838	1
602199	2000	1	714	1
604468	2000	0	"""n/a"""	2
606736	2000	1	503	1
608989	2000	1	552	1
611242	2000	1	605	1
613526	2000	0	"""n/a"""	2
615795	2000	1	629	1
618048	2000	1	638	1
620301	2000	1	673	1
622570	2000	1	674	1
624854	2000	1	"""n/a"""	2
627124	2000	1	756	1
629377	2000	0	"""n/a"""	2
631629	2000	1	497	1
633897	2000	1	765	1
636166	2000	0	"""n/a"""	2
638419	2000	1	643	1
640703	2000	1	648	1
642956	2000	1	416	1
645225	2000	1	"""n/a"""	2
647478	2000	1	953	1
649762	2000	1	651	1
652015	2000	1	490	1
654284	2000	1	"""n/a"""	2
656552	2000	0	"""n/a"""	2
658821	2000	1	740	1
661074	2000	1	868	1
663327	2000	1	720	1
665611	2000	0	"""n/a"""	2
667864	2000	1	716	1
670133	2000	0	"""n/a"""	2
672386	2000	1	701	1
674670	2000	1	671	1
676924	2000	1	"""n/a"""	2
679176	2000	1	754	1
681445	2000	1	796	1
683729	2000	0	"""n/a"""	2
685982	2000	1	642	1
688235	2000	1	511	1
690519	2000	1	792	1
692788	2000	1	"""n/a"""	2
695041	2000	1	693	1
697294	2000	1	558	1
699578	2000	0	"""n/a"""	2
701831	2000	1	484	1
704084	2000	1	620	1
706353	2000	1	790	1
708637	2000	1	842	1
710891	2000	0	"""n/a"""	2
713143	2000	1	714	1
715427	2000	1	884	1
717696	2000	1	777	1
719949	2000	0	"""n/a"""	2
722185	2000	1	678	1
724421	2000	1	822	1
726689	2000	1	"""n/a"""	2
728942	2000	1	588	1
731178	2000	0	"""n/a"""	2
733413	2000	1	627	1
735648	2000	1	705	1
737884	2000	1	634	1
740120	2000	1	"""n/a"""	2
742372	2000	1	889	1
744607	2000	1	855	1
746843	2000	1	936	1
749079	2000	1	"""n/a"""	2
751331	2000	1	703	1
753583	2000	1	646	1
755818	2000	1	427	1
758054	2000	1	728	1
760290	2000	1	"""n/a"""	2
762542	2000	1	661	1
764826	2000	1	956	1
767080	2000	0	"""n/a"""	2
