onset	duration	ACC	RT	condition
415417	2000	1	462	1
417653	2000	1	"""n/a"""	2
419904	2000	1	460	1
422141	2000	0	"""n/a"""	2
424376	2000	1	497	1
426628	2000	1	689	1
428863	2000	1	364	1
431115	2000	0	"""n/a"""	2
433351	2000	1	388	1
435603	2000	1	657	1
437855	2000	1	598	1
440124	2000	1	"""n/a"""	2
442377	2000	1	747	1
444646	2000	1	680	1
446930	2000	1	445	1
449184	2000	0	"""n/a"""	2
451436	2000	1	694	1
453705	2000	1	419	1
455973	2000	0	"""n/a"""	2
458209	2000	1	526	1
460461	2000	1	714	1
462729	2000	1	539	1
464983	2000	0	"""n/a"""	2
467235	2000	1	697	1
469519	2000	1	742	1
471788	2000	0	"""n/a"""	2
474025	2000	1	572	1
476294	2000	1	509	1
478562	2000	1	"""n/a"""	2
480815	2000	1	720	1
483084	2000	1	484	1
485353	2000	1	678	1
487637	2000	1	784	1
489906	2000	0	"""n/a"""	2
492159	2000	1	606	1
494412	2000	1	597	1
496696	2000	1	608	1
498949	2000	1	286	1
501218	2000	1	"""n/a"""	2
503471	2000	1	673	1
505739	2000	1	401	1
507976	2000	0	"""n/a"""	2
510227	2000	1	588	1
512479	2000	1	807	1
514732	2000	1	655	1
517017	2000	0	"""n/a"""	2
519285	2000	1	589	1
521539	2000	1	"""n/a"""	2
523791	2000	1	737	1
526060	2000	1	635	1
528344	2000	1	491	1
530597	2000	0	"""n/a"""	2
532866	2000	1	"""n/a"""	2
535119	2000	1	748	1
537388	2000	1	891	1
539657	2000	1	"""n/a"""	2
541909	2000	1	698	1
544178	2000	1	678	1
546430	2000	1	622	1
548683	2000	0	"""n/a"""	2
550934	2000	1	615	1
553202	2000	1	598	1
555455	2000	1	749	1
557724	2000	0	"""n/a"""	2
559992	2000	1	607	1
562229	2000	1	521	1
564498	2000	1	425	1
566783	2000	0	"""n/a"""	2
569019	2000	1	601	1
571271	2000	1	358	1
573523	2000	1	308	1
575791	2000	1	"""n/a"""	2
578060	2000	0	"""n/a"""	2
580313	2000	1	547	1
582582	2000	1	808	1
584850	2000	0	"""n/a"""	2
587104	2000	1	470	1
589372	2000	1	816	1
591641	2000	0	"""n/a"""	2
593894	2000	1	680	1
596178	2000	1	"""n/a"""	2
598431	2000	0	0	1
600684	2000	1	671	1
602953	2000	1	626	1
605205	2000	1	651	1
607473	2000	1	"""n/a"""	2
609726	2000	1	639	1
611978	2000	1	418	1
614231	2000	1	"""n/a"""	2
616483	2000	1	692	1
618752	2000	1	582	1
621020	2000	0	389	1
623289	2000	0	"""n/a"""	2
625542	2000	1	941	1
627811	2000	1	543	1
630079	2000	1	729	1
632332	2000	1	690	1
634600	2000	0	"""n/a"""	2
636853	2000	1	595	1
639122	2000	1	610	1
641357	2000	1	636	1
643609	2000	1	"""n/a"""	2
645862	2000	1	621	1
648097	2000	1	752	1
650333	2000	1	768	1
652569	2000	1	"""n/a"""	2
654821	2000	1	666	1
657073	2000	1	760	1
659308	2000	1	701	1
661560	2000	0	"""n/a"""	2
663796	2000	1	624	1
666048	2000	0	"""n/a"""	2
668284	2000	1	642	1
670536	2000	0	602	1
672789	2000	1	"""n/a"""	2
675041	2000	1	914	1
677310	2000	0	"""n/a"""	2
679545	2000	1	728	1
681797	2000	1	836	1
684065	2000	1	"""n/a"""	2
801616	2000	1	514	1
803868	2000	1	392	1
806121	2000	1	"""n/a"""	2
808373	2000	1	611	1
810625	2000	1	463	1
812877	2000	1	763	1
815130	2000	1	"""n/a"""	2
817397	2000	1	552	1
819650	2000	1	679	1
821919	2000	1	"""n/a"""	2
824172	2000	1	816	1
826440	2000	1	582	1
828709	2000	0	"""n/a"""	2
830978	2000	1	"""n/a"""	2
833246	2000	1	516	1
835500	2000	0	"""n/a"""	2
837752	2000	1	394	1
840020	2000	1	"""n/a"""	2
842273	2000	1	650	1
844508	2000	1	582	1
846761	2000	1	773	1
