onset	duration	ACC	RT	condition
244094	2000	0	0	1
246346	2000	0	"""n/a"""	2
248582	2000	1	466	1
250850	2000	1	445	1
253087	2000	1	518	1
255323	2000	0	"""n/a"""	2
257575	2000	1	505	1
259843	2000	1	630	1
262096	2000	1	738	1
264365	2000	1	522	1
266649	2000	0	"""n/a"""	2
268902	2000	1	507	1
271155	2000	1	563	1
273424	2000	1	684	1
275693	2000	0	"""n/a"""	2
277945	2000	1	586	1
280180	2000	1	749	1
282432	2000	1	"""n/a"""	2
284685	2000	1	630	1
286920	2000	1	864	1
289172	2000	1	"""n/a"""	2
291425	2000	1	767	1
293694	2000	1	803	1
295962	2000	0	"""n/a"""	2
298215	2000	1	992	1
300484	2000	0	0	1
302752	2000	0	"""n/a"""	2
305005	2000	1	615	1
307290	2000	2	"""n/a"""	2
309543	2000	1	839	1
311795	2000	1	846	1
314030	2000	0	0	1
316282	2000	0	"""n/a"""	2
318535	2000	1	745	1
320787	2000	1	916	1
323039	2000	1	799	1
325307	2000	0	"""n/a"""	2
327544	2000	1	603	1
329813	2000	1	577	1
332082	2000	0	0	1
334334	2000	1	973	1
336602	2000	0	"""n/a"""	2
338871	2000	0	"""n/a"""	2
341124	2000	1	439	1
343392	2000	1	"""n/a"""	2
345645	2000	1	649	1
347897	2000	1	577	1
350165	2000	1	994	1
352419	2000	0	"""n/a"""	2
354671	2000	0	481	1
356940	2000	1	516	1
359224	2000	0	"""n/a"""	2
361477	2000	1	854	1
363730	2000	1	953	1
365999	2000	0	0	1
368267	2000	0	"""n/a"""	2
370520	2000	1	603	1
372789	2000	1	611	1
375073	2000	1	657	1
377327	2000	0	"""n/a"""	2
379579	2000	0	0	1
381848	2000	0	0	1
384132	2000	0	"""n/a"""	2
386385	2000	1	570	1
388638	2000	0	0	1
390922	2000	0	0	1
393176	2000	0	"""n/a"""	2
395428	2000	1	933	1
397697	2000	0	0	1
399949	2000	0	0	1
402217	2000	0	"""n/a"""	2
404470	2000	1	928	1
406722	2000	1	986	1
408974	2000	1	943	1
411243	2000	0	"""n/a"""	2
413512	2000	0	"""n/a"""	2
415780	2000	1	921	1
418033	2000	0	0	1
420301	2000	0	0	1
422554	2000	0	"""n/a"""	2
424807	2000	0	0	1
427059	2000	0	0	1
429311	2000	0	0	1
431579	2000	1	"""n/a"""	2
433832	2000	1	865	1
436085	2000	1	818	1
438354	2000	1	923	1
440638	2000	0	"""n/a"""	2
442891	2000	1	989	1
445144	2000	0	0	1
447412	2000	0	"""n/a"""	2
449648	2000	0	0	1
451884	2000	0	0	1
454120	2000	0	"""n/a"""	2
456355	2000	0	0	1
458591	2000	0	"""n/a"""	2
460826	2000	0	0	1
463062	2000	0	0	1
465298	2000	0	"""n/a"""	2
467533	2000	0	491	1
469769	2000	0	"""n/a"""	2
472004	2000	1	992	1
474255	2000	0	"""n/a"""	2
476492	2000	0	0	1
478727	2000	0	0	1
480963	2000	1	968	1
483198	2000	0	0	1
485450	2000	0	"""n/a"""	2
487686	2000	0	0	1
489921	2000	1	773	1
492157	2000	1	807	1
494393	2000	1	"""n/a"""	2
496645	2000	0	0	1
498880	2000	0	0	1
501116	2000	0	0	1
503351	2000	0	0	1
505603	2000	1	"""n/a"""	2
507856	2000	1	995	1
510108	2000	1	952	1
512361	2000	0	"""n/a"""	2
629393	2000	1	365	1
631662	2000	1	438	1
633947	2000	1	"""n/a"""	2
636216	2000	1	412	1
638469	2000	1	"""n/a"""	2
640721	2000	1	480	1
643005	2000	1	441	1
645258	2000	1	260	1
647527	2000	1	"""n/a"""	2
649780	2000	1	494	1
652064	2000	1	460	1
654317	2000	1	410	1
656570	2000	1	792	1
658855	2000	1	"""n/a"""	2
661108	2000	1	517	1
663360	2000	1	452	1
665629	2000	1	587	1
667897	2000	0	"""n/a"""	2
670150	2000	1	578	1
672402	2000	1	534	1
674653	2000	1	"""n/a"""	2
676924	2000	1	"""n/a"""	2
679175	2000	1	330	1
681444	2000	1	"""n/a"""	2
