onset	duration	ACC	RT	condition
261387	2000	1	469	1
263639	2000	1	384	1
265891	2000	0	376	1
268159	2000	0	"""n/a"""	2
270412	2000	1	567	1
272680	2000	0	725	1
274934	2000	0	"""n/a"""	2
277186	2000	1	400	1
279455	2000	1	524	1
281739	2000	0	"""n/a"""	2
283992	2000	1	648	1
286228	2000	1	698	1
288480	2000	1	580	1
290748	2000	0	"""n/a"""	2
293001	2000	1	626	1
295270	2000	1	"""n/a"""	2
297523	2000	1	828	1
299807	2000	1	313	1
302060	2000	1	442	1
304329	2000	1	"""n/a"""	2
306597	2000	0	"""n/a"""	2
308866	2000	1	547	1
311119	2000	1	438	1
313387	2000	1	409	1
315641	2000	1	"""n/a"""	2
317893	2000	1	525	1
320178	2000	1	"""n/a"""	2
322446	2000	1	284	1
324699	2000	0	356	1
326968	2000	1	"""n/a"""	2
329221	2000	1	668	1
331505	2000	1	517	1
333758	2000	1	570	1
336011	2000	1	728	1
338295	2000	1	"""n/a"""	2
340564	2000	1	874	1
342817	2000	0	0	1
345069	2000	1	"""n/a"""	2
347322	2000	1	627	1
349574	2000	1	484	1
351826	2000	1	283	1
354079	2000	1	422	1
356363	2000	1	"""n/a"""	2
358616	2000	1	436	1
360869	2000	1	359	1
363138	2000	1	382	1
365422	2000	0	"""n/a"""	2
367675	2000	0	501	1
369928	2000	1	633	1
372197	2000	1	455	1
374481	2000	0	"""n/a"""	2
376734	2000	1	586	1
379003	2000	1	"""n/a"""	2
381256	2000	0	0	1
383525	2000	1	544	1
385793	2000	1	572	1
388062	2000	0	"""n/a"""	2
390315	2000	1	474	1
392599	2000	1	506	1
394853	2000	1	"""n/a"""	2
397105	2000	1	860	1
399374	2000	1	438	1
401658	2000	1	494	1
403912	2000	1	"""n/a"""	2
406164	2000	1	677	1
408433	2000	1	371	1
410717	2000	1	868	1
412971	2000	0	"""n/a"""	2
415223	2000	1	649	1
417507	2000	0	"""n/a"""	2
419760	2000	1	728	1
422013	2000	1	853	1
424282	2000	1	379	1
426517	2000	1	492	1
428769	2000	0	"""n/a"""	2
431005	2000	1	557	1
433241	2000	1	448	1
435493	2000	1	376	1
437728	2000	0	388	1
439980	2000	0	"""n/a"""	2
442216	2000	1	519	1
444452	2000	1	522	1
446688	2000	0	"""n/a"""	2
448923	2000	1	596	1
451158	2000	1	535	1
453394	2000	1	342	1
455630	2000	1	"""n/a"""	2
457882	2000	1	580	1
460117	2000	1	528	1
462353	2000	1	328	1
464638	2000	0	"""n/a"""	2
466891	2000	1	588	1
469160	2000	1	"""n/a"""	2
471412	2000	1	615	1
473681	2000	1	298	1
475950	2000	1	513	1
478234	2000	0	"""n/a"""	2
480503	2000	1	484	1
482756	2000	1	586	1
485009	2000	1	503	1
487293	2000	1	"""n/a"""	2
489546	2000	1	567	1
491799	2000	1	458	1
494083	2000	1	"""n/a"""	2
496336	2000	1	560	1
498589	2000	1	537	1
500874	2000	0	"""n/a"""	2
503142	2000	0	"""n/a"""	2
505411	2000	1	509	1
507680	2000	1	562	1
509933	2000	1	706	1
512202	2000	0	"""n/a"""	2
514470	2000	1	729	1
516724	2000	1	"""n/a"""	2
518976	2000	1	542	1
521245	2000	1	551	1
523529	2000	0	"""n/a"""	2
525798	2000	1	615	1
528051	2000	1	777	1
530320	2000	1	"""n/a"""	2
560350	2000	1	441	1
562602	2000	0	"""n/a"""	2
564855	2000	1	415	1
567123	2000	0	461	1
569376	2000	1	694	1
571661	2000	1	"""n/a"""	2
573914	2000	1	560	1
576182	2000	1	473	1
578435	2000	1	609	1
580719	2000	0	"""n/a"""	2
582988	2000	1	804	1
585241	2000	1	798	1
587494	2000	1	771	1
589763	2000	1	422	1
592047	2000	1	"""n/a"""	2
594300	2000	1	482	1
596553	2000	1	414	1
598837	2000	1	398	1
601091	2000	0	"""n/a"""	2
603343	2000	1	561	1
605612	2000	1	767	1
607896	2000	0	"""n/a"""	2
610165	2000	1	779	1
612418	2000	1	778	1
614671	2000	1	530	1
616955	2000	0	"""n/a"""	2
