onset	duration	ACC	RT	condition
246912	2000	1	694	1
249148	2000	1	541	1
251384	2000	1	483	1
253619	2000	1	570	1
255871	2000	0	"""n/a"""	2
258107	2000	1	438	1
260358	2000	0	"""n/a"""	2
262595	2000	1	675	1
264830	2000	1	658	1
267066	2000	1	453	1
269302	2000	0	"""n/a"""	2
271537	2000	1	576	1
273772	2000	1	508	1
276008	2000	1	657	1
278259	2000	0	"""n/a"""	2
280496	2000	1	651	1
282731	2000	1	421	1
284983	2000	0	"""n/a"""	2
287219	2000	1	716	1
289455	2000	1	647	1
291690	2000	1	918	1
293942	2000	1	542	1
296194	2000	1	"""n/a"""	2
298447	2000	1	786	1
300715	2000	0	"""n/a"""	2
302968	2000	1	664	1
305220	2000	1	813	1
307488	2000	0	"""n/a"""	2
309741	2000	1	690	1
311994	2000	1	738	1
314278	2000	1	780	1
316532	2000	1	"""n/a"""	2
318784	2000	1	986	1
321053	2000	1	631	1
323337	2000	0	"""n/a"""	2
325591	2000	0	"""n/a"""	2
327843	2000	1	876	1
330112	2000	1	973	1
332396	2000	0	0	1
334649	2000	0	"""n/a"""	2
336902	2000	1	483	1
339186	2000	1	641	1
341439	2000	1	602	1
343708	2000	1	"""n/a"""	2
345961	2000	1	870	1
348245	2000	0	0	1
350482	2000	1	695	1
352767	2000	1	"""n/a"""	2
355020	2000	1	728	1
357304	2000	1	489	1
359558	2000	1	"""n/a"""	2
361810	2000	1	955	1
364045	2000	1	750	1
366298	2000	0	"""n/a"""	2
368533	2000	1	589	1
370785	2000	1	982	1
373053	2000	1	631	1
375306	2000	0	"""n/a"""	2
377559	2000	1	646	1
379843	2000	1	"""n/a"""	2
382096	2000	1	936	1
384349	2000	0	0	1
386634	2000	1	"""n/a"""	2
388902	2000	1	734	1
391155	2000	0	0	1
393408	2000	1	815	1
395692	2000	0	"""n/a"""	2
397945	2000	1	386	1
400198	2000	1	601	1
402467	2000	1	903	1
404751	2000	0	0	1
407020	2000	1	"""n/a"""	2
409290	2000	1	688	1
411542	2000	1	779	1
413810	2000	1	"""n/a"""	2
416079	2000	1	544	1
418332	2000	1	716	1
420585	2000	1	654	1
422869	2000	0	"""n/a"""	2
425138	2000	1	652	1
427391	2000	1	551	1
429660	2000	0	"""n/a"""	2
431928	2000	1	"""n/a"""	2
434197	2000	1	655	1
436451	2000	0	"""n/a"""	2
438703	2000	1	680	1
440972	2000	1	627	1
443256	2000	1	834	1
445509	2000	1	684	1
447778	2000	0	"""n/a"""	2
450031	2000	1	638	1
452283	2000	1	719	1
454518	2000	1	925	1
456770	2000	1	"""n/a"""	2
459023	2000	1	668	1
461259	2000	0	"""n/a"""	2
463494	2000	1	474	1
465729	2000	1	469	1
467965	2000	1	705	1
470218	2000	0	"""n/a"""	2
472453	2000	1	680	1
474689	2000	0	"""n/a"""	2
476941	2000	0	0	1
479210	2000	1	816	1
481478	2000	1	"""n/a"""	2
483747	2000	0	0	1
485983	2000	1	629	1
488235	2000	1	350	1
490488	2000	0	"""n/a"""	2
492723	2000	1	775	1
494975	2000	1	619	1
497227	2000	1	662	1
499496	2000	1	"""n/a"""	2
501749	2000	1	586	1
504017	2000	1	687	1
506286	2000	1	"""n/a"""	2
508539	2000	1	641	1
510823	2000	1	571	1
513060	2000	1	535	1
515345	2000	1	"""n/a"""	2
566980	2000	1	688	1
569216	2000	1	570	1
571468	2000	1	570	1
573753	2000	1	"""n/a"""	2
576006	2000	1	535	1
578274	2000	1	494	1
580527	2000	1	770	1
582811	2000	0	"""n/a"""	2
585080	2000	1	400	1
587334	2000	0	"""n/a"""	2
589586	2000	1	667	1
591855	2000	1	522	1
594139	2000	1	599	1
596393	2000	1	"""n/a"""	2
598645	2000	1	470	1
