onset	duration	ACC	RT	condition
288054	2000	1	434	1
290289	2000	1	509	1
292557	2000	0	"""n/a"""	2
294810	2000	1	530	1
297063	2000	1	474	1
299315	2000	1	549	1
301568	2000	0	"""n/a"""	2
303819	2000	1	635	1
306072	2000	1	302	1
308340	2000	1	304	1
310609	2000	1	"""n/a"""	2
312862	2000	1	798	1
315146	2000	1	636	1
317399	2000	1	698	1
319652	2000	1	828	1
321936	2000	0	"""n/a"""	2
324189	2000	1	500	1
326458	2000	0	"""n/a"""	2
328711	2000	1	494	1
330995	2000	1	381	1
333249	2000	0	"""n/a"""	2
335501	2000	1	664	1
337785	2000	1	"""n/a"""	2
340054	2000	1	722	1
342307	2000	1	577	1
344560	2000	1	685	1
346844	2000	1	"""n/a"""	2
349113	2000	1	944	1
351366	2000	1	699	1
353619	2000	1	657	1
355903	2000	1	757	1
358157	2000	0	"""n/a"""	2
360409	2000	1	759	1
362678	2000	1	717	1
364962	2000	1	"""n/a"""	2
367232	2000	1	590	1
369484	2000	1	730	1
371752	2000	0	"""n/a"""	2
374021	2000	1	476	1
376274	2000	1	716	1
378527	2000	1	638	1
380811	2000	0	"""n/a"""	2
383064	2000	0	0	1
385317	2000	1	713	1
387586	2000	1	714	1
389870	2000	0	"""n/a"""	2
392123	2000	1	517	1
394376	2000	1	396	1
396645	2000	1	498	1
398929	2000	1	"""n/a"""	2
401182	2000	0	0	1
403451	2000	1	"""n/a"""	2
405704	2000	1	839	1
407972	2000	1	790	1
410225	2000	1	506	1
412510	2000	1	"""n/a"""	2
414778	2000	0	"""n/a"""	2
417031	2000	1	693	1
419284	2000	1	736	1
421568	2000	0	"""n/a"""	2
423837	2000	1	"""n/a"""	2
426090	2000	1	630	1
428343	2000	1	595	1
430612	2000	0	0	1
432881	2000	0	"""n/a"""	2
435133	2000	1	862	1
437418	2000	0	"""n/a"""	2
439686	2000	1	810	1
441939	2000	1	602	1
444208	2000	0	"""n/a"""	2
446461	2000	1	736	1
448745	2000	1	384	1
450998	2000	1	490	1
453234	2000	1	683	1
455485	2000	1	"""n/a"""	2
457738	2000	0	0	1
459974	2000	0	0	1
462210	2000	1	537	1
464462	2000	1	681	1
466698	2000	0	"""n/a"""	2
468950	2000	0	0	1
471186	2000	0	"""n/a"""	2
473421	2000	0	0	1
475656	2000	1	693	1
477908	2000	0	"""n/a"""	2
480144	2000	1	722	1
482380	2000	1	284	1
484632	2000	0	0	1
486868	2000	0	"""n/a"""	2
489120	2000	1	718	1
491372	2000	0	0	1
493607	2000	1	967	1
495859	2000	0	"""n/a"""	2
498095	2000	0	0	1
500331	2000	0	0	1
502566	2000	0	0	1
504818	2000	1	"""n/a"""	2
507071	2000	1	850	1
509306	2000	0	0	1
511542	2000	1	517	1
513827	2000	0	"""n/a"""	2
516095	2000	1	849	1
518348	2000	1	424	1
520617	2000	1	"""n/a"""	2
522870	2000	0	0	1
525122	2000	1	786	1
527357	2000	1	656	1
529625	2000	0	"""n/a"""	2
531894	2000	1	778	1
534147	2000	1	617	1
536400	2000	1	404	1
538684	2000	1	"""n/a"""	2
540953	2000	0	0	1
543190	2000	1	952	1
545475	2000	0	"""n/a"""	2
547743	2000	1	780	1
549996	2000	1	583	1
552265	2000	0	"""n/a"""	2
554518	2000	0	0	1
556786	2000	1	"""n/a"""	2
638534	2000	1	527	1
