onset	duration	ACC	RT	condition
404335	2000	1	426	1
406587	2000	1	"""n/a"""	2
408840	2000	1	483	1
411092	2000	0	356	1
413327	2000	1	366	1
415579	2000	1	"""n/a"""	2
417832	2000	1	568	1
420067	2000	1	408	1
422319	2000	1	"""n/a"""	2
424572	2000	1	651	1
426807	2000	1	759	1
429043	2000	1	468	1
431294	2000	1	689	1
433548	2000	0	"""n/a"""	2
435800	2000	1	723	1
438068	2000	1	644	1
440337	2000	0	"""n/a"""	2
442590	2000	1	459	1
444874	2000	1	467	1
447127	2000	0	0	1
449396	2000	0	"""n/a"""	2
451664	2000	0	"""n/a"""	2
453933	2000	1	545	1
456187	2000	1	"""n/a"""	2
458439	2000	1	540	1
460708	2000	1	757	1
462992	2000	1	438	1
465246	2000	1	"""n/a"""	2
467498	2000	1	934	1
469767	2000	1	519	1
472036	2000	1	381	1
474320	2000	1	"""n/a"""	2
476573	2000	1	804	1
478826	2000	1	734	1
481110	2000	0	"""n/a"""	2
483363	2000	1	326	1
485599	2000	1	435	1
487851	2000	1	428	1
490104	2000	0	"""n/a"""	2
492356	2000	1	377	1
494608	2000	1	820	1
496860	2000	1	601	1
499112	2000	0	"""n/a"""	2
501380	2000	1	540	1
503633	2000	1	430	1
505902	2000	1	"""n/a"""	2
508155	2000	0	336	1
510439	2000	1	427	1
512676	2000	1	454	1
514945	2000	1	667	1
517230	2000	1	"""n/a"""	2
519498	2000	1	425	1
521752	2000	0	"""n/a"""	2
524004	2000	1	544	1
526273	2000	1	424	1
528557	2000	0	"""n/a"""	2
530810	2000	0	637	1
533063	2000	1	914	1
535332	2000	1	458	1
537616	2000	0	"""n/a"""	2
539869	2000	1	429	1
542121	2000	1	"""n/a"""	2
544374	2000	1	674	1
546626	2000	1	405	1
548879	2000	0	"""n/a"""	2
551131	2000	1	391	1
553415	2000	1	"""n/a"""	2
555668	2000	1	852	1
557904	2000	1	464	1
560156	2000	1	276	1
562409	2000	1	"""n/a"""	2
564661	2000	0	545	1
566930	2000	0	0	1
569198	2000	1	"""n/a"""	2
571451	2000	1	792	1
573720	2000	1	576	1
576005	2000	1	458	1
578258	2000	0	392	1
580527	2000	0	"""n/a"""	2
582779	2000	1	774	1
585048	2000	1	921	1
587300	2000	1	414	1
589568	2000	0	"""n/a"""	2
591821	2000	1	294	1
594073	2000	1	433	1
596325	2000	1	705	1
598594	2000	1	"""n/a"""	2
600847	2000	1	583	1
603115	2000	1	473	1
605384	2000	0	"""n/a"""	2
607652	2000	1	864	1
609921	2000	1	478	1
612158	2000	1	558	1
614443	2000	0	"""n/a"""	2
616679	2000	1	533	1
618931	2000	1	520	1
621184	2000	1	"""n/a"""	2
623451	2000	1	"""n/a"""	2
625704	2000	1	510	1
627940	2000	1	542	1
630192	2000	1	"""n/a"""	2
632445	2000	0	458	1
634697	2000	1	560	1
636932	2000	1	515	1
639184	2000	0	"""n/a"""	2
641420	2000	1	542	1
643656	2000	1	513	1
645891	2000	1	464	1
648143	2000	0	"""n/a"""	2
650379	2000	1	605	1
652614	2000	1	768	1
654850	2000	1	956	1
657101	2000	1	"""n/a"""	2
659355	2000	0	558	1
661623	2000	1	509	1
663876	2000	0	0	1
666160	2000	0	0	1
668413	2000	1	"""n/a"""	2
670666	2000	1	868	1
672951	2000	0	"""n/a"""	2
733778	2000	1	796	1
736031	2000	1	368	1
738300	2000	1	"""n/a"""	2
740552	2000	1	396	1
742804	2000	1	324	1
745056	2000	1	240	1
747309	2000	0	"""n/a"""	2
749561	2000	1	569	1
751830	2000	1	393	1
754098	2000	1	351	1
756350	2000	0	"""n/a"""	2
758603	2000	1	624	1
760856	2000	1	"""n/a"""	2
763107	2000	1	412	1
765375	2000	0	"""n/a"""	2
767644	2000	1	625	1
769881	2000	1	725	1
772166	2000	1	835	1
774434	2000	1	"""n/a"""	2
776687	2000	1	501	1
778940	2000	1	681	1
781209	2000	1	456	1
783493	2000	0	"""n/a"""	2
785730	2000	1	647	1
787999	2000	1	739	1
790268	2000	1	751	1
792552	2000	0	"""n/a"""	2
794821	2000	1	594	1
797058	2000	1	568	1
799326	2000	0	"""n/a"""	2
801579	2000	1	550	1
803831	2000	1	879	1
806083	2000	0	659	1
808351	2000	1	"""n/a"""	2
810604	2000	1	534	1
812857	2000	1	747	1
815142	2000	0	"""n/a"""	2
817410	2000	1	"""n/a"""	2
819663	2000	1	747	1
821932	2000	0	"""n/a"""	2
824185	2000	1	729	1
826454	2000	1	601	1
828722	2000	0	0	1
830958	2000	1	535	1
833211	2000	0	"""n/a"""	2
835446	2000	1	337	1
837731	2000	1	552	1
