onset	duration	ACC	RT	condition
466728	2000	1	322	1
469012	2000	1	212	1
471265	2000	1	352	1
473534	2000	1	"""n/a"""	2
475787	2000	1	302	1
478071	2000	1	434	1
480325	2000	1	"""n/a"""	2
482577	2000	1	375	1
484861	2000	1	684	1
487130	2000	0	318	1
489384	2000	1	"""n/a"""	2
491636	2000	1	401	1
493920	2000	1	416	1
496173	2000	1	481	1
498442	2000	0	"""n/a"""	2
500678	2000	1	237	1
502913	2000	1	301	1
505182	2000	0	"""n/a"""	2
507418	2000	1	569	1
509653	2000	1	444	1
511890	2000	0	"""n/a"""	2
514125	2000	1	283	1
516360	2000	1	288	1
518612	2000	1	387	1
520864	2000	0	"""n/a"""	2
523117	2000	1	418	1
525352	2000	1	405	1
527588	2000	1	475	1
529824	2000	1	"""n/a"""	2
532076	2000	1	292	1
534328	2000	1	329	1
536563	2000	1	360	1
538799	2000	1	226	1
541050	2000	1	"""n/a"""	2
543303	2000	1	427	1
545539	2000	1	366	1
547790	2000	0	"""n/a"""	2
550027	2000	1	297	1
552263	2000	1	"""n/a"""	2
554515	2000	1	538	1
556751	2000	1	"""n/a"""	2
559002	2000	1	469	1
561254	2000	1	"""n/a"""	2
563507	2000	1	992	1
565742	2000	1	401	1
567978	2000	0	0	1
570214	2000	0	"""n/a"""	2
572450	2000	1	"""n/a"""	2
574701	2000	0	199	1
576937	2000	1	425	1
579172	2000	1	190	1
581408	2000	1	210	1
583644	2000	0	"""n/a"""	2
585896	2000	1	425	1
588131	2000	1	460	1
590367	2000	1	549	1
592603	2000	0	"""n/a"""	2
594838	2000	0	248	1
597073	2000	0	421	1
599309	2000	1	"""n/a"""	2
601561	2000	1	611	1
603813	2000	0	271	1
606049	2000	1	382	1
608284	2000	0	"""n/a"""	2
610520	2000	1	208	1
612756	2000	1	389	1
615024	2000	0	"""n/a"""	2
617293	2000	1	"""n/a"""	2
619546	2000	1	293	1
621782	2000	1	"""n/a"""	2
624033	2000	1	433	1
626286	2000	1	408	1
628570	2000	0	"""n/a"""	2
630823	2000	1	752	1
633092	2000	1	368	1
635360	2000	0	"""n/a"""	2
637613	2000	1	358	1
639866	2000	1	318	1
642101	2000	1	175	1
644354	2000	0	"""n/a"""	2
646606	2000	1	406	1
648875	2000	1	354	1
651144	2000	0	193	1
653412	2000	1	310	1
655681	2000	1	"""n/a"""	2
657934	2000	1	523	1
660218	2000	1	328	1
662471	2000	0	327	1
664724	2000	1	451	1
667008	2000	1	"""n/a"""	2
669261	2000	1	416	1
671514	2000	1	271	1
673783	2000	1	334	1
676067	2000	0	"""n/a"""	2
678320	2000	1	271	1
680589	2000	0	"""n/a"""	2
682842	2000	1	273	1
685126	2000	0	"""n/a"""	2
687379	2000	1	343	1
689632	2000	0	673	1
691916	2000	1	841	1
694185	2000	1	"""n/a"""	2
696438	2000	1	422	1
698691	2000	1	490	1
700975	2000	1	664	1
703229	2000	1	"""n/a"""	2
705481	2000	1	469	1
707750	2000	1	440	1
710034	2000	0	"""n/a"""	2
712287	2000	1	512	1
714540	2000	1	343	1
716824	2000	1	"""n/a"""	2
719077	2000	1	951	1
721330	2000	1	213	1
723599	2000	1	289	1
725883	2000	1	"""n/a"""	2
728136	2000	1	441	1
730389	2000	1	303	1
732673	2000	0	256	1
734942	2000	1	"""n/a"""	2
