onset	duration	ACC	RT	condition
383695	2000	1	335	1
385947	2000	1	403	1
388182	2000	1	502	1
390434	2000	1	"""n/a"""	2
392687	2000	1	374	1
394939	2000	1	453	1
397191	2000	1	488	1
399443	2000	1	"""n/a"""	2
401696	2000	1	758	1
403931	2000	1	545	1
406167	2000	1	473	1
408403	2000	1	"""n/a"""	2
410655	2000	1	593	1
412891	2000	0	"""n/a"""	2
415126	2000	1	455	1
417361	2000	1	585	1
419597	2000	0	"""n/a"""	2
421832	2000	0	373	1
424068	2000	1	415	1
426319	2000	0	"""n/a"""	2
428572	2000	1	467	1
430809	2000	0	"""n/a"""	2
433060	2000	1	415	1
435312	2000	1	558	1
437581	2000	0	"""n/a"""	2
439834	2000	1	431	1
442103	2000	1	727	1
444371	2000	1	430	1
446640	2000	1	"""n/a"""	2
448909	2000	1	"""n/a"""	2
451162	2000	1	892	1
453430	2000	0	0	1
455699	2000	1	"""n/a"""	2
457952	2000	1	762	1
460236	2000	1	918	1
462489	2000	1	501	1
464742	2000	1	420	1
467026	2000	0	"""n/a"""	2
469295	2000	1	465	1
471548	2000	1	487	1
473817	2000	1	"""n/a"""	2
476070	2000	1	503	1
478354	2000	1	481	1
480607	2000	1	472	1
482876	2000	0	"""n/a"""	2
485129	2000	1	489	1
487398	2000	0	"""n/a"""	2
489650	2000	1	413	1
491919	2000	1	627	1
494203	2000	1	406	1
496457	2000	1	"""n/a"""	2
498709	2000	1	355	1
500978	2000	1	626	1
503247	2000	1	649	1
505515	2000	1	720	1
507784	2000	0	"""n/a"""	2
510037	2000	1	317	1
512321	2000	1	604	1
514574	2000	1	683	1
516843	2000	0	"""n/a"""	2
519096	2000	1	462	1
521380	2000	1	573	1
523633	2000	1	330	1
525886	2000	1	520	1
528170	2000	1	"""n/a"""	2
530439	2000	1	401	1
532692	2000	1	522	1
534961	2000	0	"""n/a"""	2
537214	2000	1	431	1
539498	2000	0	"""n/a"""	2
541751	2000	1	450	1
544004	2000	1	486	1
546288	2000	0	"""n/a"""	2
548557	2000	1	384	1
550811	2000	1	"""n/a"""	2
553063	2000	1	481	1
555332	2000	1	666	1
557616	2000	1	660	1
559870	2000	0	"""n/a"""	2
562122	2000	1	381	1
564406	2000	1	675	1
566643	2000	1	704	1
568879	2000	0	"""n/a"""	2
571114	2000	1	553	1
573349	2000	1	494	1
575601	2000	1	"""n/a"""	2
577854	2000	1	354	1
580089	2000	1	399	1
582325	2000	1	769	1
584576	2000	0	"""n/a"""	2
586813	2000	1	488	1
589049	2000	1	"""n/a"""	2
591301	2000	1	664	1
593553	2000	1	584	1
595788	2000	1	526	1
598024	2000	1	700	1
600260	2000	1	"""n/a"""	2
602512	2000	1	527	1
604747	2000	1	600	1
606999	2000	0	"""n/a"""	2
609235	2000	1	418	1
611471	2000	1	407	1
613707	2000	1	"""n/a"""	2
615959	2000	1	"""n/a"""	2
618211	2000	1	610	1
620480	2000	1	629	1
622748	2000	1	806	1
624985	2000	0	"""n/a"""	2
627236	2000	1	737	1
629488	2000	1	762	1
631724	2000	1	778	1
633977	2000	0	"""n/a"""	2
636244	2000	1	413	1
638497	2000	1	590	1
640733	2000	1	677	1
642984	2000	1	"""n/a"""	2
645237	2000	1	430	1
647473	2000	1	517	1
649725	2000	1	533	1
651978	2000	0	"""n/a"""	2
694337	2000	1	"""n/a"""	2
696588	2000	1	503	1
698841	2000	1	529	1
701125	2000	1	576	1
703379	2000	0	"""n/a"""	2
705631	2000	1	337	1
707900	2000	1	709	1
710169	2000	1	749	1
712453	2000	0	"""n/a"""	2
714706	2000	1	578	1
716959	2000	1	732	1
719243	2000	0	"""n/a"""	2
721496	2000	1	512	1
723749	2000	1	562	1
726033	2000	0	"""n/a"""	2
728302	2000	0	301	1
730556	2000	1	"""n/a"""	2
732808	2000	1	571	1
735077	2000	1	694	1
737361	2000	1	802	1
739615	2000	0	"""n/a"""	2
741867	2000	1	703	1
744151	2000	0	"""n/a"""	2
746420	2000	1	523	1
748674	2000	1	"""n/a"""	2
750926	2000	1	521	1
753195	2000	1	681	1
755479	2000	1	768	1
757733	2000	0	"""n/a"""	2
759985	2000	1	613	1
762269	2000	1	833	1
764522	2000	1	855	1
766775	2000	1	838	1
769060	2000	1	"""n/a"""	2
771328	2000	1	424	1
773597	2000	1	559	1
775851	2000	1	"""n/a"""	2
778103	2000	1	593	1
780371	2000	1	467	1
782624	2000	1	695	1
784909	2000	0	"""n/a"""	2
787162	2000	1	344	1
789446	2000	1	600	1
791699	2000	1	734	1
793968	2000	0	"""n/a"""	2
796221	2000	1	321	1
798505	2000	1	845	1
800758	2000	1	729	1
803011	2000	1	825	1
805295	2000	1	"""n/a"""	2
807548	2000	1	697	1
809801	2000	1	513	1
812070	2000	1	479	1
814354	2000	1	"""n/a"""	2
816607	2000	1	485	1
818860	2000	1	658	1
821144	2000	1	"""n/a"""	2
823413	2000	1	439	1
825666	2000	1	369	1
827935	2000	0	"""n/a"""	2
830203	2000	1	490	1
832456	2000	1	474	1
834709	2000	1	475	1
836994	2000	1	"""n/a"""	2
839262	2000	1	345	1
841515	2000	1	422	1
843784	2000	1	"""n/a"""	2
846037	2000	1	810	1
848321	2000	1	941	1
850574	2000	1	795	1
852843	2000	0	"""n/a"""	2
855096	2000	1	452	1
857365	2000	1	430	1
859649	2000	0	"""n/a"""	2
861902	2000	1	553	1
864171	2000	0	"""n/a"""	2
866424	2000	1	480	1
868708	2000	1	383	1
870961	2000	1	480	1
873214	2000	1	620	1
875498	2000	1	"""n/a"""	2
877751	2000	1	501	1
880004	2000	1	595	1
882288	2000	1	492	1
884557	2000	1	621	1
886811	2000	1	"""n/a"""	2
889063	2000	1	517	1
891347	2000	0	"""n/a"""	2
893600	2000	1	471	1
895853	2000	1	301	1
898138	2000	1	"""n/a"""	2
900406	2000	1	485	1
902660	2000	1	"""n/a"""	2
904912	2000	1	760	1
907181	2000	1	375	1
909465	2000	1	462	1
911719	2000	0	"""n/a"""	2
913971	2000	1	428	1
916255	2000	1	453	1
918508	2000	1	700	1
920777	2000	0	"""n/a"""	2
923030	2000	1	536	1
925299	2000	1	486	1
927568	2000	1	677	1
