onset	duration	ACC	RT	condition
283220	2000	1	702	1
285473	2000	1	380	1
287725	2000	1	375	1
289960	2000	0	371	1
292212	2000	1	"""n/a"""	2
294465	2000	1	467	1
296700	2000	1	391	1
298952	2000	0	"""n/a"""	2
301205	2000	1	799	1
303440	2000	1	558	1
305676	2000	1	580	1
307912	2000	0	"""n/a"""	2
310164	2000	1	812	1
312416	2000	1	753	1
314668	2000	0	0	1
316921	2000	0	"""n/a"""	2
319173	2000	1	666	1
321457	2000	1	752	1
323711	2000	0	"""n/a"""	2
325963	2000	1	546	1
328215	2000	1	435	1
330468	2000	0	"""n/a"""	2
332719	2000	1	484	1
334971	2000	1	566	1
337224	2000	0	0	1
339460	2000	0	"""n/a"""	2
341712	2000	1	782	1
343996	2000	0	0	1
346233	2000	0	0	1
348501	2000	0	"""n/a"""	2
350754	2000	1	648	1
353006	2000	1	480	1
355259	2000	0	"""n/a"""	2
357511	2000	0	0	1
359763	2000	1	892	1
362015	2000	1	618	1
364268	2000	1	"""n/a"""	2
366520	2000	1	753	1
368789	2000	1	774	1
371057	2000	1	968	1
373310	2000	1	789	1
375594	2000	0	"""n/a"""	2
377847	2000	1	724	1
380116	2000	0	"""n/a"""	2
382369	2000	1	618	1
384638	2000	1	516	1
386922	2000	1	744	1
389176	2000	0	"""n/a"""	2
391428	2000	0	0	1
393697	2000	1	728	1
395981	2000	0	"""n/a"""	2
398235	2000	1	"""n/a"""	2
400487	2000	1	837	1
402771	2000	1	922	1
405024	2000	0	0	1
407293	2000	1	"""n/a"""	2
409546	2000	1	645	1
411830	2000	0	"""n/a"""	2
414083	2000	1	816	1
416352	2000	0	"""n/a"""	2
418605	2000	0	0	1
420889	2000	0	0	1
423142	2000	1	485	1
425411	2000	1	"""n/a"""	2
427680	2000	1	773	1
429948	2000	0	0	1
432201	2000	0	"""n/a"""	2
434454	2000	1	604	1
436723	2000	1	694	1
438992	2000	0	"""n/a"""	2
441244	2000	1	970	1
443513	2000	0	0	1
445798	2000	0	"""n/a"""	2
448066	2000	1	620	1
450319	2000	1	815	1
452572	2000	0	0	1
454808	2000	0	"""n/a"""	2
457043	2000	1	718	1
459278	2000	1	691	1
461514	2000	1	828	1
463750	2000	0	"""n/a"""	2
465985	2000	1	750	1
468221	2000	1	751	1
470456	2000	0	0	1
472692	2000	1	763	1
474928	2000	0	"""n/a"""	2
477163	2000	1	788	1
479398	2000	1	756	1
481634	2000	0	0	1
483870	2000	0	"""n/a"""	2
486137	2000	0	0	1
488374	2000	1	758	1
490643	2000	0	0	1
492895	2000	0	0	1
495163	2000	1	"""n/a"""	2
497416	2000	0	0	1
499667	2000	1	"""n/a"""	2
501937	2000	1	668	1
504189	2000	1	649	1
506458	2000	1	"""n/a"""	2
508711	2000	1	834	1
510980	2000	1	697	1
513248	2000	1	818	1
515517	2000	1	"""n/a"""	2
517770	2000	0	0	1
520054	2000	1	927	1
522307	2000	0	0	1
524559	2000	1	"""n/a"""	2
526812	2000	0	0	1
529047	2000	1	743	1
531300	2000	1	782	1
533585	2000	0	"""n/a"""	2
535821	2000	0	0	1
538057	2000	0	"""n/a"""	2
540309	2000	0	0	1
542593	2000	0	"""n/a"""	2
544847	2000	1	"""n/a"""	2
547099	2000	1	933	1
549368	2000	1	940	1
551652	2000	1	"""n/a"""	2
668536	2000	1	698	1
670788	2000	1	914	1
673056	2000	0	"""n/a"""	2
675309	2000	1	621	1
677561	2000	1	503	1
679830	2000	1	"""n/a"""	2
682098	2000	0	0	1
684335	2000	0	0	1
686587	2000	1	779	1
688840	2000	1	"""n/a"""	2
691107	2000	1	739	1
693360	2000	1	822	1
695613	2000	1	746	1
697897	2000	1	"""n/a"""	2
700166	2000	1	672	1
702419	2000	1	649	1
704672	2000	1	769	1
706956	2000	1	"""n/a"""	2
709209	2000	1	632	1
711462	2000	1	711	1
713747	2000	1	"""n/a"""	2
716000	2000	1	651	1
718284	2000	1	"""n/a"""	2
720537	2000	1	924	1
722790	2000	1	622	1
725059	2000	1	489	1
727343	2000	0	"""n/a"""	2
729612	2000	0	0	1
731849	2000	0	0	1
734133	2000	0	0	1
736386	2000	0	"""n/a"""	2
738639	2000	0	869	1
740923	2000	0	"""n/a"""	2
743176	2000	0	0	1
745429	2000	0	0	1
747681	2000	1	692	1
749933	2000	0	0	1
752186	2000	0	"""n/a"""	2
754438	2000	1	929	1
756722	2000	0	0	1
758959	2000	0	0	1
761227	2000	0	"""n/a"""	2
763480	2000	0	0	1
765732	2000	0	0	1
767984	2000	0	0	1
770236	2000	0	"""n/a"""	2
772505	2000	1	"""n/a"""	2
774758	2000	0	0	1
776993	2000	1	705	1
779246	2000	1	492	1
781514	2000	1	554	1
783783	2000	1	"""n/a"""	2
786036	2000	1	534	1
788305	2000	1	741	1
