onset	duration	ACC	RT	condition
368494	2000	1	730	1
370730	2000	1	377	1
372965	2000	0	391	1
375217	2000	1	"""n/a"""	2
377470	2000	1	785	1
379705	2000	1	434	1
381957	2000	0	"""n/a"""	2
384193	2000	1	594	1
386445	2000	1	"""n/a"""	2
388681	2000	0	0	1
390916	2000	1	679	1
393152	2000	1	737	1
395403	2000	0	"""n/a"""	2
397656	2000	1	492	1
399909	2000	1	524	1
402177	2000	0	"""n/a"""	2
404430	2000	1	625	1
406715	2000	0	"""n/a"""	2
408968	2000	1	480	1
411252	2000	1	438	1
413505	2000	0	"""n/a"""	2
415758	2000	1	560	1
418027	2000	0	0	1
420279	2000	1	568	1
422514	2000	1	486	1
424782	2000	0	"""n/a"""	2
427019	2000	1	741	1
429254	2000	1	600	1
431507	2000	1	799	1
433791	2000	0	"""n/a"""	2
436044	2000	1	593	1
438313	2000	0	"""n/a"""	2
440581	2000	1	832	1
442834	2000	1	539	1
445087	2000	1	732	1
447356	2000	1	725	1
449640	2000	1	"""n/a"""	2
451893	2000	1	744	1
454146	2000	1	411	1
456430	2000	1	839	1
458684	2000	0	"""n/a"""	2
460936	2000	1	664	1
463205	2000	1	593	1
465489	2000	1	491	1
467743	2000	1	"""n/a"""	2
469995	2000	1	617	1
472279	2000	1	508	1
474548	2000	1	437	1
476802	2000	1	"""n/a"""	2
479070	2000	1	"""n/a"""	2
481338	2000	1	816	1
483591	2000	1	666	1
485844	2000	1	577	1
488128	2000	0	"""n/a"""	2
490397	2000	1	847	1
492650	2000	1	805	1
494919	2000	0	"""n/a"""	2
497187	2000	1	423	1
499456	2000	1	610	1
501710	2000	1	"""n/a"""	2
503978	2000	1	513	1
506246	2000	1	703	1
508499	2000	1	727	1
510752	2000	1	752	1
513036	2000	0	"""n/a"""	2
515305	2000	0	"""n/a"""	2
517558	2000	1	968	1
519811	2000	1	554	1
522046	2000	1	609	1
524298	2000	1	"""n/a"""	2
526551	2000	1	470	1
528786	2000	1	745	1
531022	2000	0	0	1
533258	2000	1	"""n/a"""	2
535510	2000	0	451	1
537778	2000	1	"""n/a"""	2
540031	2000	0	557	1
542266	2000	1	950	1
544502	2000	1	626	1
546738	2000	0	"""n/a"""	2
548973	2000	1	861	1
551208	2000	1	531	1
553444	2000	1	855	1
555697	2000	0	"""n/a"""	2
557932	2000	1	784	1
560167	2000	1	864	1
562419	2000	0	"""n/a"""	2
564656	2000	1	758	1
566907	2000	1	603	1
569159	2000	0	"""n/a"""	2
571395	2000	1	705	1
573647	2000	1	831	1
575883	2000	1	939	1
578151	2000	0	"""n/a"""	2
580404	2000	1	505	1
582657	2000	1	"""n/a"""	2
584908	2000	1	580	1
587144	2000	1	718	1
589396	2000	1	689	1
591649	2000	1	"""n/a"""	2
593901	2000	1	519	1
596170	2000	0	443	1
598439	2000	1	"""n/a"""	2
600691	2000	1	481	1
602959	2000	1	"""n/a"""	2
605212	2000	1	436	1
607464	2000	1	554	1
609717	2000	1	"""n/a"""	2
611968	2000	1	443	1
614204	2000	1	114	1
616456	2000	0	217	1
618724	2000	0	"""n/a"""	2
620977	2000	0	308	1
623230	2000	1	520	1
625498	2000	0	"""n/a"""	2
627751	2000	1	536	1
630020	2000	1	899	1
632289	2000	1	478	1
634541	2000	0	0	1
636777	2000	0	"""n/a"""	2
794816	2000	1	682	1
797068	2000	1	486	1
799304	2000	1	395	1
801555	2000	1	"""n/a"""	2
803825	2000	1	726	1
806077	2000	1	438	1
808345	2000	1	"""n/a"""	2
810614	2000	1	468	1
812867	2000	1	500	1
815136	2000	1	791	1
817388	2000	1	"""n/a"""	2
819641	2000	1	480	1
821910	2000	1	444	1
824162	2000	1	593	1
826414	2000	0	621	1
828666	2000	0	"""n/a"""	2
830919	2000	1	763	1
833203	2000	1	871	1
835440	2000	1	894	1
837709	2000	1	843	1
839993	2000	1	"""n/a"""	2
842246	2000	1	819	1
844482	2000	1	838	1
846734	2000	1	931	1
848987	2000	0	"""n/a"""	2
851239	2000	1	965	1
853491	2000	0	0	1
855727	2000	0	"""n/a"""	2
857979	2000	1	737	1
860248	2000	1	816	1
862532	2000	1	535	1
864786	2000	1	"""n/a"""	2
867038	2000	1	840	1
869307	2000	1	554	1
871576	2000	1	"""n/a"""	2
873828	2000	1	672	1
876097	2000	0	0	1
878366	2000	0	0	1
880635	2000	1	"""n/a"""	2
882887	2000	1	636	1
885156	2000	0	617	1
887440	2000	0	"""n/a"""	2
889694	2000	0	"""n/a"""	2
891946	2000	1	794	1
894230	2000	0	"""n/a"""	2
896483	2000	1	756	1
898736	2000	0	0	1
901005	2000	1	521	1
903289	2000	0	"""n/a"""	2
905542	2000	1	545	1
907795	2000	1	639	1
910079	2000	1	"""n/a"""	2
912348	2000	1	655	1
914585	2000	1	482	1
916854	2000	1	580	1
919122	2000	1	"""n/a"""	2
921375	2000	1	583	1
923660	2000	1	"""n/a"""	2
925913	2000	1	553	1
928197	2000	1	"""n/a"""	2
930451	2000	0	258	1
932719	2000	1	484	1
934987	2000	1	"""n/a"""	2
937241	2000	1	502	1
939493	2000	1	499	1
941745	2000	1	964	1
943996	2000	0	"""n/a"""	2
946249	2000	1	633	1
948502	2000	0	0	1
950754	2000	1	628	1
953006	2000	1	790	1
955259	2000	0	"""n/a"""	2
957526	2000	1	715	1
959779	2000	1	927	1
962032	2000	1	547	1
964316	2000	1	599	1
966570	2000	1	"""n/a"""	2
968822	2000	1	841	1
971091	2000	1	863	1
973375	2000	0	"""n/a"""	2
975628	2000	1	600	1
977864	2000	1	821	1
980117	2000	0	"""n/a"""	2
982368	2000	0	0	1
984604	2000	1	820	1
986856	2000	0	0	1
989124	2000	0	"""n/a"""	2
991377	2000	1	592	1
993613	2000	1	851	1
995848	2000	1	827	1
998117	2000	0	"""n/a"""	2
1000370	2000	1	788	1
1002639	2000	1	634	1
1004923	2000	0	"""n/a"""	2
1007176	2000	1	766	1
1009429	2000	1	654	1
1011713	2000	1	"""n/a"""	2
1013966	2000	1	863	1
1016219	2000	1	821	1
1018488	2000	1	911	1
1020756	2000	1	"""n/a"""	2
1023009	2000	1	566	1
1025261	2000	1	447	1
1027513	2000	1	534	1
1029766	2000	0	"""n/a"""	2
1032034	2000	0	"""n/a"""	2
1034302	2000	1	768	1
1036555	2000	1	717	1
1038808	2000	1	674	1
1041092	2000	0	"""n/a"""	2
1043345	2000	1	569	1
1045614	2000	1	"""n/a"""	2
1047867	2000	1	574	1
1050151	2000	1	640	1
1052404	2000	1	982	1
1054673	2000	1	"""n/a"""	2
1056941	2000	1	676	1
1059194	2000	0	"""n/a"""	2
1061447	2000	0	0	1
1063731	2000	0	"""n/a"""	2
1200700	2000	1	783	1
1202953	2000	1	683	1
1205206	2000	1	679	1
1207490	2000	0	"""n/a"""	2
1209759	2000	1	655	1
1212012	2000	1	702	1
1214265	2000	1	759	1
1216549	2000	0	"""n/a"""	2
1218802	2000	1	706	1
1221055	2000	1	952	1
1223324	2000	1	652	1
1225608	2000	1	822	1
1227862	2000	0	"""n/a"""	2
1230130	2000	1	"""n/a"""	2
1232398	2000	1	954	1
1234667	2000	1	"""n/a"""	2
1236920	2000	1	643	1
1239173	2000	1	992	1
1241457	2000	0	"""n/a"""	2
1243710	2000	0	0	1
1245963	2000	1	958	1
1248247	2000	1	"""n/a"""	2
1250517	2000	0	0	1
1252769	2000	1	520	1
1255022	2000	1	736	1
1257306	2000	1	"""n/a"""	2
1259559	2000	1	839	1
1261812	2000	1	541	1
1264081	2000	1	516	1
1266365	2000	1	"""n/a"""	2
1268618	2000	1	767	1
1270887	2000	1	"""n/a"""	2
1273155	2000	1	634	1
1275409	2000	1	453	1
1277678	2000	0	"""n/a"""	2
1279930	2000	0	0	1
1282214	2000	1	738	1
1284467	2000	1	826	1
1286736	2000	0	"""n/a"""	2
1288989	2000	1	699	1
1291258	2000	0	"""n/a"""	2
1293510	2000	1	669	1
1295779	2000	1	982	1
1298063	2000	0	"""n/a"""	2
1300316	2000	0	0	1
1302569	2000	0	0	1
1304853	2000	1	384	1
1307122	2000	0	"""n/a"""	2
1309375	2000	0	0	1
1311628	2000	1	920	1
1313912	2000	0	0	1
1316166	2000	0	"""n/a"""	2
1318418	2000	0	0	1
1320702	2000	0	0	1
1322971	2000	1	"""n/a"""	2
1325224	2000	1	508	1
1327477	2000	1	641	1
1329761	2000	1	790	1
1332014	2000	1	837	1
1334283	2000	0	"""n/a"""	2
1336536	2000	1	797	1
1338820	2000	1	945	1
1341073	2000	0	0	1
1343342	2000	0	"""n/a"""	2
1345610	2000	1	691	1
1347863	2000	1	967	1
1350132	2000	1	"""n/a"""	2
1352401	2000	1	919	1
1354669	2000	0	0	1
1356923	2000	1	"""n/a"""	2
1359191	2000	0	0	1
1361459	2000	1	624	1
1363712	2000	1	607	1
1365965	2000	1	508	1
1368250	2000	1	"""n/a"""	2
1370518	2000	1	864	1
1372772	2000	0	"""n/a"""	2
1375024	2000	1	683	1
1377308	2000	1	673	1
1379577	2000	1	611	1
1381831	2000	1	"""n/a"""	2
1384083	2000	1	723	1
1386367	2000	1	922	1
1388620	2000	0	0	1
1390889	2000	1	"""n/a"""	2
1393157	2000	1	545	1
1395426	2000	1	700	1
1397679	2000	1	829	1
1399948	2000	0	"""n/a"""	2
1402216	2000	1	680	1
1404469	2000	1	578	1
1406722	2000	1	541	1
1409006	2000	1	"""n/a"""	2
1411276	2000	1	686	1
1413528	2000	1	893	1
1415781	2000	1	460	1
1418065	2000	1	715	1
1420319	2000	0	"""n/a"""	2
1422587	2000	0	"""n/a"""	2
1424840	2000	1	918	1
1427124	2000	1	878	1
1429378	2000	0	"""n/a"""	2
1431630	2000	1	973	1
1433914	2000	1	846	1
1436168	2000	1	"""n/a"""	2
1438436	2000	1	466	1
1440705	2000	1	"""n/a"""	2
1442974	2000	1	808	1
1445226	2000	1	795	1
1447479	2000	1	430	1
1449763	2000	1	"""n/a"""	2
1452033	2000	1	519	1
1454285	2000	0	237	1
1456538	2000	1	531	1
1458822	2000	1	"""n/a"""	2
1461075	2000	1	401	1
1463328	2000	1	323	1
1465613	2000	0	"""n/a"""	2
1467882	2000	1	521	1
