onset	duration	ACC	RT	condition
262104	2000	1	749	1
264340	2000	1	654	1
266608	2000	0	"""n/a"""	2
268845	2000	0	"""n/a"""	2
271096	2000	1	406	1
273349	2000	1	417	1
275634	2000	1	409	1
277902	2000	1	"""n/a"""	2
280171	2000	1	537	1
282424	2000	1	587	1
284677	2000	1	509	1
286961	2000	1	484	1
289215	2000	0	"""n/a"""	2
291467	2000	1	745	1
293752	2000	0	"""n/a"""	2
296005	2000	1	587	1
298289	2000	1	533	1
300542	2000	0	"""n/a"""	2
302795	2000	1	695	1
305079	2000	0	"""n/a"""	2
307332	2000	1	478	1
309585	2000	1	675	1
311870	2000	1	767	1
314138	2000	0	"""n/a"""	2
316391	2000	1	500	1
318644	2000	1	755	1
320928	2000	1	"""n/a"""	2
323198	2000	1	643	1
325450	2000	1	925	1
327703	2000	1	598	1
329987	2000	0	"""n/a"""	2
332256	2000	1	661	1
334509	2000	1	570	1
336778	2000	0	"""n/a"""	2
339031	2000	1	455	1
341315	2000	1	520	1
343569	2000	1	"""n/a"""	2
345821	2000	1	724	1
348090	2000	1	735	1
350358	2000	1	885	1
352627	2000	1	"""n/a"""	2
354880	2000	1	652	1
357149	2000	1	599	1
359417	2000	1	687	1
361670	2000	1	603	1
363955	2000	1	"""n/a"""	2
366208	2000	1	483	1
368492	2000	1	771	1
370745	2000	1	610	1
373014	2000	0	"""n/a"""	2
375267	2000	1	491	1
377551	2000	1	475	1
379804	2000	1	612	1
382073	2000	0	"""n/a"""	2
384326	2000	1	779	1
386595	2000	1	656	1
388879	2000	1	662	1
391133	2000	0	"""n/a"""	2
393385	2000	1	828	1
395669	2000	0	"""n/a"""	2
397922	2000	1	720	1
400175	2000	1	684	1
402444	2000	1	804	1
404728	2000	1	"""n/a"""	2
406981	2000	1	850	1
409234	2000	1	891	1
411518	2000	1	629	1
413772	2000	0	"""n/a"""	2
416024	2000	1	929	1
418293	2000	1	713	1
420577	2000	1	512	1
422831	2000	0	"""n/a"""	2
425083	2000	1	862	1
427351	2000	1	782	1
429620	2000	0	0	1
431889	2000	1	"""n/a"""	2
434157	2000	1	918	1
436410	2000	1	"""n/a"""	2
438663	2000	1	810	1
440898	2000	1	829	1
443134	2000	1	899	1
445370	2000	1	"""n/a"""	2
447622	2000	1	614	1
449874	2000	1	710	1
452110	2000	1	"""n/a"""	2
454362	2000	1	472	1
456614	2000	1	878	1
458849	2000	0	0	1
461101	2000	0	"""n/a"""	2
463337	2000	1	935	1
465573	2000	1	922	1
467808	2000	1	752	1
470044	2000	1	821	1
472312	2000	0	"""n/a"""	2
474565	2000	1	509	1
476817	2000	1	571	1
479085	2000	1	896	1
481339	2000	1	"""n/a"""	2
483591	2000	1	854	1
485860	2000	1	764	1
488129	2000	1	"""n/a"""	2
490381	2000	1	775	1
492650	2000	1	649	1
494919	2000	1	804	1
497203	2000	1	808	1
499457	2000	1	"""n/a"""	2
501709	2000	1	694	1
503978	2000	0	"""n/a"""	2
506230	2000	1	795	1
508514	2000	0	0	1
510767	2000	1	"""n/a"""	2
513036	2000	0	"""n/a"""	2
515289	2000	1	877	1
517558	2000	1	974	1
519842	2000	0	"""n/a"""	2
522111	2000	1	811	1
524365	2000	1	"""n/a"""	2
526617	2000	1	805	1
528901	2000	1	758	1
531155	2000	0	"""n/a"""	2
569793	2000	1	942	1
572045	2000	1	639	1
574297	2000	1	637	1
576550	2000	0	"""n/a"""	2
578802	2000	1	618	1
581086	2000	1	747	1
583323	2000	1	851	1
585592	2000	1	601	1
587876	2000	1	"""n/a"""	2
590145	2000	1	593	1
592398	2000	1	527	1
594667	2000	1	"""n/a"""	2
596920	2000	1	748	1
599188	2000	1	729	1
601441	2000	1	838	1
603726	2000	0	"""n/a"""	2
605962	2000	1	618	1
608214	2000	1	865	1
610450	2000	0	0	1
612734	2000	0	"""n/a"""	2
614987	2000	1	785	1
617240	2000	1	516	1
619525	2000	1	"""n/a"""	2
621778	2000	1	756	1
624046	2000	1	834	1
626282	2000	1	841	1
628535	2000	0	"""n/a"""	2
630787	2000	1	"""n/a"""	2
633039	2000	1	634	1
635308	2000	1	581	1
637592	2000	1	656	1
639846	2000	0	"""n/a"""	2
642098	2000	1	770	1
644382	2000	1	"""n/a"""	2
646651	2000	1	605	1
648905	2000	0	"""n/a"""	2
651140	2000	1	564	1
653392	2000	1	720	1
655645	2000	0	"""n/a"""	2
657897	2000	1	700	1
660149	2000	1	592	1
662401	2000	1	514	1
664637	2000	1	962	1
666922	2000	1	"""n/a"""	2
669175	2000	1	728	1
671443	2000	1	523	1
673712	2000	1	"""n/a"""	2
675965	2000	1	853	1
678249	2000	1	556	1
680503	2000	0	"""n/a"""	2
682738	2000	1	989	1
684990	2000	1	588	1
687242	2000	1	515	1
689511	2000	1	"""n/a"""	2
691764	2000	1	613	1
694048	2000	1	"""n/a"""	2
696301	2000	1	377	1
698554	2000	1	681	1
700823	2000	1	584	1
703107	2000	1	"""n/a"""	2
705360	2000	1	867	1
707596	2000	1	511	1
709848	2000	1	849	1
712100	2000	1	817	1
714369	2000	0	"""n/a"""	2
716637	2000	1	885	1
718890	2000	1	"""n/a"""	2
721143	2000	1	888	1
723395	2000	1	672	1
725648	2000	0	"""n/a"""	2
727899	2000	1	823	1
730152	2000	1	665	1
732436	2000	0	"""n/a"""	2
734705	2000	1	567	1
736942	2000	1	686	1
739211	2000	1	778	1
741495	2000	1	"""n/a"""	2
743764	2000	1	713	1
746017	2000	1	711	1
748253	2000	1	581	1
750506	2000	1	"""n/a"""	2
752757	2000	0	0	1
754993	2000	1	459	1
757245	2000	1	748	1
