onset	duration	ACC	RT	condition
266255	2000	1	651	1
268524	2000	1	365	1
270808	2000	1	"""n/a"""	2
273062	2000	0	"""n/a"""	2
275314	2000	1	439	1
277583	2000	1	613	1
279867	2000	1	474	1
282121	2000	1	"""n/a"""	2
284373	2000	1	705	1
286625	2000	1	563	1
288878	2000	0	"""n/a"""	2
291113	2000	1	570	1
293382	2000	1	606	1
295666	2000	1	947	1
297919	2000	0	"""n/a"""	2
300155	2000	1	483	1
302407	2000	1	731	1
304659	2000	1	828	1
306912	2000	1	741	1
309180	2000	0	"""n/a"""	2
311433	2000	1	735	1
313685	2000	1	476	1
315921	2000	1	531	1
318205	2000	0	"""n/a"""	2
320458	2000	1	508	1
322727	2000	1	"""n/a"""	2
324995	2000	1	387	1
327248	2000	1	627	1
329501	2000	1	765	1
331770	2000	0	0	1
334038	2000	0	"""n/a"""	2
336291	2000	0	0	1
338559	2000	1	"""n/a"""	2
340812	2000	1	688	1
343064	2000	1	485	1
345316	2000	1	502	1
347585	2000	0	"""n/a"""	2
349853	2000	1	890	1
352107	2000	1	"""n/a"""	2
354359	2000	1	637	1
356628	2000	1	774	1
358896	2000	0	0	1
361165	2000	0	"""n/a"""	2
363418	2000	1	852	1
365702	2000	1	507	1
367956	2000	0	"""n/a"""	2
370208	2000	1	615	1
372477	2000	1	854	1
374761	2000	1	652	1
377015	2000	1	"""n/a"""	2
379267	2000	1	800	1
381536	2000	1	981	1
383820	2000	0	"""n/a"""	2
386073	2000	1	877	1
388326	2000	1	513	1
390610	2000	1	773	1
392864	2000	1	"""n/a"""	2
395116	2000	1	789	1
397385	2000	1	511	1
399669	2000	0	"""n/a"""	2
401955	2000	1	"""n/a"""	2
404208	2000	1	441	1
406460	2000	1	608	1
408728	2000	0	"""n/a"""	2
410981	2000	1	644	1
413234	2000	1	974	1
415518	2000	0	"""n/a"""	2
417787	2000	1	628	1
420041	2000	0	"""n/a"""	2
422293	2000	0	0	1
424562	2000	1	934	1
426846	2000	1	783	1
429100	2000	0	"""n/a"""	2
431368	2000	1	737	1
433636	2000	1	629	1
435890	2000	0	"""n/a"""	2
438142	2000	0	0	1
440426	2000	1	620	1
442679	2000	0	0	1
444948	2000	1	"""n/a"""	2
447201	2000	1	507	1
449437	2000	0	"""n/a"""	2
451672	2000	1	694	1
453907	2000	1	665	1
456143	2000	1	691	1
458379	2000	0	"""n/a"""	2
460631	2000	0	0	1
462866	2000	0	582	1
465102	2000	1	975	1
467354	2000	1	709	1
469605	2000	1	"""n/a"""	2
471858	2000	1	616	1
474094	2000	1	579	1
476330	2000	1	424	1
478598	2000	1	295	1
480866	2000	1	"""n/a"""	2
483135	2000	1	393	1
