onset	duration	ACC	RT	condition
303390	2000	1	462	1
305626	2000	1	365	1
307862	2000	0	"""n/a"""	2
310114	2000	1	422	1
312383	2000	1	"""n/a"""	2
314635	2000	1	736	1
316871	2000	0	"""n/a"""	2
319138	2000	1	388	1
321391	2000	1	518	1
323643	2000	0	"""n/a"""	2
325879	2000	1	652	1
328131	2000	1	405	1
330384	2000	1	572	1
332668	2000	1	540	1
334937	2000	0	"""n/a"""	2
337190	2000	1	615	1
339443	2000	1	578	1
341727	2000	1	"""n/a"""	2
343980	2000	1	688	1
346233	2000	1	568	1
348518	2000	0	"""n/a"""	2
350771	2000	1	645	1
353007	2000	1	386	1
355258	2000	1	465	1
357527	2000	1	"""n/a"""	2
359795	2000	1	592	1
362064	2000	1	448	1
364317	2000	1	596	1
366570	2000	1	492	1
368854	2000	1	"""n/a"""	2
371107	2000	1	615	1
373375	2000	1	"""n/a"""	2
375628	2000	1	683	1
377881	2000	1	753	1
380150	2000	1	438	1
382435	2000	0	"""n/a"""	2
384703	2000	1	540	1
386956	2000	1	765	1
389209	2000	1	553	1
391494	2000	0	"""n/a"""	2
393762	2000	0	"""n/a"""	2
396015	2000	1	526	1
398268	2000	1	686	1
400552	2000	1	651	1
402806	2000	1	"""n/a"""	2
405058	2000	1	696	1
407327	2000	1	912	1
409611	2000	1	594	1
411880	2000	0	"""n/a"""	2
414133	2000	1	679	1
416386	2000	1	560	1
418670	2000	1	741	1
420924	2000	0	"""n/a"""	2
423176	2000	1	680	1
425445	2000	1	485	1
427729	2000	1	479	1
429998	2000	0	"""n/a"""	2
432251	2000	1	471	1
434504	2000	1	525	1
436788	2000	1	"""n/a"""	2
439057	2000	1	583	1
441310	2000	1	737	1
443579	2000	0	"""n/a"""	2
445847	2000	1	514	1
448100	2000	1	384	1
450369	2000	1	"""n/a"""	2
452637	2000	0	0	1
454906	2000	1	507	1
457159	2000	1	546	1
459428	2000	1	"""n/a"""	2
461696	2000	1	683	1
463965	2000	1	454	1
466218	2000	1	679	1
468486	2000	0	"""n/a"""	2
470755	2000	1	517	1
473024	2000	1	423	1
475277	2000	1	477	1
477530	2000	1	467	1
479814	2000	0	"""n/a"""	2
482067	2000	1	640	1
484320	2000	1	498	1
486589	2000	1	510	1
488873	2000	1	"""n/a"""	2
491126	2000	1	961	1
493379	2000	1	487	1
495664	2000	1	"""n/a"""	2
497932	2000	1	755	1
500185	2000	1	670	1
502454	2000	0	"""n/a"""	2
504707	2000	1	497	1
506991	2000	1	"""n/a"""	2
509244	2000	1	700	1
511497	2000	1	586	1
513781	2000	1	497	1
516035	2000	0	"""n/a"""	2
518287	2000	1	496	1
520556	2000	1	535	1
522840	2000	1	605	1
525094	2000	1	"""n/a"""	2
527346	2000	1	754	1
529630	2000	1	"""n/a"""	2
531899	2000	1	716	1
534153	2000	0	"""n/a"""	2
536405	2000	1	676	1
538640	2000	1	476	1
540876	2000	1	315	1
543111	2000	1	531	1
545363	2000	0	"""n/a"""	2
547599	2000	1	628	1
549835	2000	1	500	1
552071	2000	1	"""n/a"""	2
554322	2000	1	531	1
556558	2000	1	552	1
558793	2000	1	595	1
561045	2000	0	"""n/a"""	2
563281	2000	1	501	1
565517	2000	1	441	1
567752	2000	1	357	1
569989	2000	1	"""n/a"""	2
572241	2000	0	"""n/a"""	2
608143	2000	1	453	1
610395	2000	1	485	1
612630	2000	1	503	1
614883	2000	1	381	1
617152	2000	1	"""n/a"""	2
619404	2000	1	532	1
621673	2000	1	569	1
623942	2000	1	609	1
626211	2000	0	"""n/a"""	2
628446	2000	1	536	1
630698	2000	1	447	1
632951	2000	0	"""n/a"""	2
635203	2000	1	611	1
