onset	duration	ACC	RT	condition
324865	2000	1	515	1
327101	2000	0	385	1
329336	2000	1	417	1
331604	2000	1	"""n/a"""	2
333857	2000	1	434	1
336110	2000	1	474	1
338379	2000	1	399	1
340631	2000	1	475	1
342867	2000	0	"""n/a"""	2
345119	2000	1	466	1
347403	2000	1	371	1
349657	2000	0	"""n/a"""	2
351909	2000	1	633	1
354178	2000	1	535	1
356462	2000	0	"""n/a"""	2
358715	2000	1	579	1
360984	2000	0	"""n/a"""	2
363237	2000	1	395	1
365521	2000	1	521	1
367774	2000	1	529	1
370043	2000	0	"""n/a"""	2
372296	2000	1	827	1
374580	2000	1	508	1
376833	2000	1	466	1
379102	2000	1	"""n/a"""	2
381370	2000	1	527	1
383624	2000	0	307	1
385892	2000	1	514	1
388161	2000	1	"""n/a"""	2
390429	2000	1	466	1
392682	2000	1	673	1
394935	2000	1	357	1
397220	2000	0	"""n/a"""	2
399488	2000	1	563	1
401741	2000	1	544	1
404010	2000	0	"""n/a"""	2
406263	2000	1	500	1
408547	2000	1	344	1
410800	2000	1	392	1
413053	2000	1	482	1
415337	2000	1	"""n/a"""	2
417590	2000	1	549	1
419843	2000	1	447	1
422128	2000	1	"""n/a"""	2
424396	2000	1	509	1
426650	2000	0	"""n/a"""	2
428918	2000	0	"""n/a"""	2
431171	2000	1	391	1
433455	2000	1	501	1
435708	2000	1	641	1
437977	2000	1	"""n/a"""	2
440230	2000	1	546	1
442498	2000	1	619	1
444767	2000	0	"""n/a"""	2
447020	2000	1	559	1
449304	2000	1	629	1
451557	2000	1	553	1
453826	2000	1	"""n/a"""	2
456079	2000	1	671	1
458363	2000	0	"""n/a"""	2
460616	2000	1	484	1
462885	2000	1	"""n/a"""	2
465138	2000	1	882	1
467422	2000	1	764	1
469676	2000	0	"""n/a"""	2
471928	2000	1	656	1
474197	2000	0	0	1
476481	2000	0	"""n/a"""	2
478734	2000	1	520	1
480987	2000	1	726	1
483271	2000	1	690	1
485525	2000	1	"""n/a"""	2
487777	2000	1	822	1
490062	2000	0	"""n/a"""	2
492330	2000	1	752	1
494567	2000	1	570	1
496802	2000	1	439	1
499054	2000	0	"""n/a"""	2
501290	2000	1	879	1
503526	2000	1	950	1
505761	2000	0	0	1
508013	2000	1	"""n/a"""	2
510266	2000	1	525	1
512501	2000	1	597	1
514737	2000	1	722	1
516972	2000	1	626	1
519224	2000	0	"""n/a"""	2
521460	2000	1	669	1
523696	2000	0	416	1
525932	2000	0	"""n/a"""	2
528167	2000	1	655	1
530436	2000	1	33	1
532705	2000	1	513	1
534989	2000	1	659	1
537243	2000	1	"""n/a"""	2
539495	2000	1	828	1
541764	2000	1	711	1
544016	2000	1	535	1
546301	2000	0	"""n/a"""	2
548554	2000	0	0	1
550838	2000	1	455	1
553092	2000	0	"""n/a"""	2
555344	2000	1	613	1
557613	2000	1	841	1
559897	2000	1	734	1
562151	2000	1	"""n/a"""	2
564403	2000	1	706	1
566672	2000	1	342	1
568941	2000	0	"""n/a"""	2
571193	2000	1	491	1
573478	2000	0	"""n/a"""	2
575746	2000	1	"""n/a"""	2
577999	2000	1	492	1
580252	2000	1	694	1
582521	2000	1	687	1
584805	2000	0	"""n/a"""	2
587058	2000	1	669	1
589311	2000	1	369	1
591580	2000	1	683	1
593864	2000	0	"""n/a"""	2
639644	2000	1	443	1
641880	2000	1	533	1
644148	2000	1	372	1
646401	2000	1	633	1
648685	2000	1	"""n/a"""	2
650938	2000	1	609	1
653191	2000	1	542	1
655475	2000	0	"""n/a"""	2
657728	2000	1	727	1
659997	2000	1	"""n/a"""	2
662250	2000	1	653	1
664534	2000	1	730	1
666788	2000	0	"""n/a"""	2
669040	2000	1	791	1
671309	2000	1	818	1
673593	2000	1	466	1
675847	2000	1	"""n/a"""	2
678099	2000	1	547	1
680368	2000	1	525	1
682652	2000	0	"""n/a"""	2
684905	2000	1	675	1
687158	2000	1	966	1
689427	2000	0	0	1
691695	2000	0	"""n/a"""	2
693964	2000	1	"""n/a"""	2
696217	2000	1	582	1
698501	2000	1	503	1
700754	2000	1	742	1
703023	2000	0	"""n/a"""	2
705276	2000	1	702	1
707560	2000	1	"""n/a"""	2
709813	2000	1	958	1
712066	2000	1	599	1
714350	2000	1	469	1
716619	2000	1	564	1
718873	2000	1	"""n/a"""	2
721125	2000	1	705	1
723409	2000	0	"""n/a"""	2
725662	2000	1	597	1
727915	2000	1	520	1
730184	2000	1	516	1
732468	2000	1	"""n/a"""	2
734721	2000	1	569	1
736974	2000	1	543	1
739243	2000	0	0	1
741527	2000	0	"""n/a"""	2
743780	2000	1	674	1
746033	2000	1	539	1
748317	2000	1	"""n/a"""	2
750570	2000	1	764	1
752823	2000	1	643	1
755108	2000	0	"""n/a"""	2
757376	2000	1	476	1
759629	2000	1	645	1
761882	2000	1	701	1
764167	2000	0	"""n/a"""	2
766435	2000	1	539	1
768688	2000	1	638	1
770941	2000	1	622	1
773225	2000	0	"""n/a"""	2
775494	2000	1	628	1
777747	2000	1	550	1
780000	2000	1	626	1
782284	2000	0	"""n/a"""	2
784537	2000	1	794	1
786806	2000	1	"""n/a"""	2
789059	2000	1	866	1
791343	2000	0	0	1
793596	2000	1	822	1
795865	2000	0	"""n/a"""	2
798118	2000	1	692	1
800402	2000	0	0	1
802655	2000	0	0	1
804924	2000	0	"""n/a"""	2
807192	2000	1	755	1
809445	2000	1	719	1
811714	2000	0	"""n/a"""	2
813967	2000	1	670	1
816251	2000	1	806	1
818504	2000	0	814	1
820773	2000	0	"""n/a"""	2
823026	2000	0	0	1
825310	2000	1	"""n/a"""	2
827564	2000	1	"""n/a"""	2
829816	2000	1	931	1
832085	2000	0	0	1
834337	2000	1	914	1
836622	2000	0	"""n/a"""	2
838875	2000	1	687	1
841159	2000	1	690	1
843413	2000	1	"""n/a"""	2
845665	2000	1	663	1
847934	2000	1	570	1
850218	2000	1	535	1
852472	2000	1	"""n/a"""	2
854724	2000	1	675	1
856993	2000	1	836	1
859277	2000	1	"""n/a"""	2
861530	2000	1	722	1
863783	2000	1	674	1
866067	2000	1	656	1
868321	2000	0	"""n/a"""	2
870573	2000	1	993	1
872858	2000	1	690	1
875126	2000	1	590	1
877379	2000	1	695	1
879648	2000	1	"""n/a"""	2
881916	2000	0	0	1
884153	2000	1	758	1
886422	2000	1	542	1
888691	2000	1	478	1
890975	2000	0	"""n/a"""	2
893244	2000	1	734	1
895498	2000	1	"""n/a"""	2
897750	2000	1	375	1
900034	2000	1	440	1
902288	2000	1	"""n/a"""	2
904556	2000	0	0	1
906809	2000	1	773	1
909093	2000	0	"""n/a"""	2
943395	2000	1	642	1
945630	2000	1	462	1
947899	2000	1	"""n/a"""	2
950167	2000	1	619	1
952420	2000	1	739	1
954673	2000	0	0	1
956942	2000	1	927	1
959226	2000	0	"""n/a"""	2
961479	2000	1	594	1
963748	2000	0	"""n/a"""	2
966016	2000	1	650	1
968269	2000	1	645	1
970538	2000	1	"""n/a"""	2
972807	2000	1	558	1
975075	2000	1	506	1
977328	2000	1	711	1
979597	2000	0	"""n/a"""	2
981850	2000	1	453	1
984134	2000	1	473	1
986387	2000	1	884	1
988640	2000	1	618	1
990924	2000	1	"""n/a"""	2
993177	2000	1	704	1
995430	2000	1	610	1
997699	2000	1	820	1
999983	2000	0	"""n/a"""	2
1002236	2000	1	734	1
1004489	2000	1	661	1
1006758	2000	1	584	1
1009042	2000	0	"""n/a"""	2
1011296	2000	1	"""n/a"""	2
1013564	2000	1	586	1
1015817	2000	1	650	1
1018101	2000	1	645	1
1020355	2000	1	"""n/a"""	2
1022623	2000	1	876	1
1024891	2000	0	"""n/a"""	2
1027144	2000	0	0	1
1029397	2000	1	961	1
1031666	2000	1	763	1
1033950	2000	1	"""n/a"""	2
1036203	2000	1	519	1
1038472	2000	0	"""n/a"""	2
1040725	2000	0	0	1
1043009	2000	1	446	1
1045262	2000	1	634	1
1047531	2000	0	"""n/a"""	2
1049799	2000	1	554	1
1052052	2000	1	753	1
1054321	2000	0	"""n/a"""	2
1056574	2000	1	721	1
1058858	2000	1	469	1
1061112	2000	1	"""n/a"""	2
1063364	2000	1	374	1
1065633	2000	1	590	1
1067917	2000	1	"""n/a"""	2
1070187	2000	1	749	1
1072439	2000	1	821	1
1074707	2000	1	837	1
1076961	2000	0	"""n/a"""	2
1079213	2000	0	469	1
1081482	2000	0	0	1
1083766	2000	1	"""n/a"""	2
1086036	2000	1	482	1
1088288	2000	1	803	1
1090556	2000	0	"""n/a"""	2
1092825	2000	0	0	1
1095079	2000	0	"""n/a"""	2
1097331	2000	1	643	1
1099615	2000	1	"""n/a"""	2
1101885	2000	1	651	1
1104137	2000	1	764	1
1106390	2000	1	682	1
1108674	2000	0	"""n/a"""	2
1110927	2000	1	770	1
1113180	2000	0	0	1
1115449	2000	0	0	1
1117733	2000	1	"""n/a"""	2
1120019	2000	1	529	1
1122272	2000	1	590	1
1124525	2000	1	"""n/a"""	2
1126793	2000	1	755	1
1129045	2000	1	648	1
1131298	2000	1	442	1
1133582	2000	0	"""n/a"""	2
