onset	duration	ACC	RT	condition
465151	2000	1	390	1
467387	2000	0	456	1
469638	2000	0	"""n/a"""	2
471875	2000	1	357	1
474110	2000	1	449	1
476346	2000	1	561	1
478581	2000	1	476	1
480833	2000	0	"""n/a"""	2
483086	2000	1	492	1
485355	2000	1	467	1
487640	2000	1	"""n/a"""	2
489892	2000	1	424	1
492145	2000	1	394	1
494414	2000	1	452	1
496698	2000	1	"""n/a"""	2
498968	2000	1	675	1
501221	2000	0	"""n/a"""	2
503473	2000	1	346	1
505742	2000	1	374	1
508026	2000	1	"""n/a"""	2
510295	2000	1	579	1
512548	2000	1	429	1
514801	2000	1	453	1
517085	2000	0	"""n/a"""	2
519354	2000	1	562	1
521607	2000	1	349	1
523860	2000	1	697	1
526144	2000	0	"""n/a"""	2
528397	2000	1	434	1
530650	2000	1	337	1
532919	2000	1	641	1
535187	2000	1	591	1
537456	2000	0	"""n/a"""	2
539709	2000	1	536	1
541993	2000	1	759	1
544247	2000	0	"""n/a"""	2
546499	2000	1	633	1
548783	2000	1	"""n/a"""	2
551036	2000	1	720	1
553289	2000	1	682	1
555573	2000	0	"""n/a"""	2
557842	2000	1	"""n/a"""	2
560095	2000	1	681	1
562348	2000	1	754	1
564632	2000	1	624	1
566886	2000	0	"""n/a"""	2
569138	2000	1	408	1
571407	2000	1	520	1
573691	2000	1	603	1
575945	2000	0	"""n/a"""	2
578197	2000	1	512	1
580481	2000	0	"""n/a"""	2
582734	2000	1	806	1
584987	2000	1	413	1
587271	2000	1	677	1
589525	2000	0	"""n/a"""	2
591777	2000	0	0	1
594046	2000	1	691	1
596315	2000	1	694	1
598599	2000	0	"""n/a"""	2
600852	2000	0	0	1
603105	2000	1	813	1
605374	2000	1	818	1
607658	2000	0	"""n/a"""	2
609895	2000	1	556	1
612130	2000	1	673	1
614366	2000	1	597	1
616602	2000	1	"""n/a"""	2
618854	2000	1	647	1
621090	2000	0	"""n/a"""	2
623325	2000	1	704	1
625560	2000	1	915	1
627812	2000	0	"""n/a"""	2
630065	2000	1	714	1
632300	2000	1	795	1
634536	2000	0	740	1
636772	2000	0	"""n/a"""	2
639007	2000	1	602	1
641258	2000	0	"""n/a"""	2
643495	2000	1	951	1
645730	2000	1	584	1
647966	2000	1	706	1
650201	2000	1	634	1
652453	2000	1	"""n/a"""	2
654706	2000	1	654	1
656942	2000	1	"""n/a"""	2
659210	2000	1	"""n/a"""	2
661463	2000	1	852	1
663715	2000	1	612	1
665950	2000	0	0	1
668202	2000	0	"""n/a"""	2
670438	2000	1	364	1
672674	2000	1	681	1
674942	2000	1	"""n/a"""	2
677195	2000	0	0	1
679430	2000	0	0	1
681682	2000	1	"""n/a"""	2
683935	2000	1	874	1
686170	2000	1	667	1
688422	2000	0	"""n/a"""	2
690658	2000	1	607	1
692894	2000	1	702	1
695129	2000	1	593	1
697381	2000	0	"""n/a"""	2
699617	2000	1	694	1
701853	2000	1	821	1
704121	2000	0	"""n/a"""	2
706357	2000	1	694	1
708593	2000	1	652	1
710845	2000	0	0	1
713081	2000	0	"""n/a"""	2
715333	2000	1	565	1
717568	2000	1	882	1
719804	2000	1	903	1
722040	2000	0	"""n/a"""	2
724275	2000	1	886	1
726510	2000	1	752	1
728746	2000	0	0	1
730981	2000	0	0	1
733233	2000	1	"""n/a"""	2
768585	2000	1	568	1
770838	2000	1	510	1
773107	2000	1	895	1
775391	2000	0	"""n/a"""	2
777644	2000	1	858	1
779913	2000	1	"""n/a"""	2
782166	2000	1	733	1
784450	2000	1	860	1
786703	2000	0	0	1
788955	2000	1	"""n/a"""	2
791208	2000	1	598	1
793460	2000	1	626	1
795712	2000	1	732	1
797980	2000	0	0	1
800233	2000	0	"""n/a"""	2
802486	2000	1	691	1
804755	2000	0	0	1
807007	2000	0	0	1
809292	2000	0	"""n/a"""	2
811561	2000	1	"""n/a"""	2
813829	2000	1	922	1
816082	2000	0	0	1
818318	2000	1	617	1
820586	2000	1	"""n/a"""	2
822839	2000	1	636	1
825091	2000	0	889	1
827344	2000	1	948	1
829628	2000	0	"""n/a"""	2
831881	2000	1	896	1
834134	2000	1	708	1
836418	2000	0	698	1
838671	2000	1	983	1
840940	2000	0	"""n/a"""	2
843193	2000	1	961	1
845478	2000	1	"""n/a"""	2
847746	2000	1	908	1
849999	2000	0	0	1
852252	2000	1	599	1
854537	2000	1	"""n/a"""	2
856805	2000	0	0	1
859042	2000	1	667	1
861311	2000	1	435	1
863596	2000	1	"""n/a"""	2
865848	2000	1	435	1
868117	2000	0	"""n/a"""	2
870370	2000	1	604	1
872654	2000	1	767	1
874908	2000	0	"""n/a"""	2
877160	2000	1	750	1
879444	2000	1	807	1
881713	2000	1	"""n/a"""	2
883966	2000	1	596	1
886219	2000	1	680	1
888503	2000	1	"""n/a"""	2
890756	2000	1	783	1
893009	2000	1	826	1
895293	2000	0	"""n/a"""	2
897562	2000	1	639	1
899815	2000	0	0	1
902067	2000	0	"""n/a"""	2
904320	2000	1	725	1
906572	2000	1	994	1
908824	2000	1	760	1
911093	2000	0	"""n/a"""	2
913361	2000	1	663	1
915614	2000	1	711	1
917883	2000	0	"""n/a"""	2
920151	2000	1	839	1
922404	2000	1	989	1
924673	2000	0	0	1
926942	2000	1	"""n/a"""	2
929210	2000	0	"""n/a"""	2
931463	2000	1	553	1
933716	2000	0	0	1
936000	2000	1	550	1
938254	2000	0	"""n/a"""	2
940506	2000	1	668	1
942775	2000	0	0	1
945027	2000	1	741	1
947295	2000	1	"""n/a"""	2
949548	2000	0	782	1
951800	2000	1	688	1
954053	2000	1	"""n/a"""	2
956305	2000	1	617	1
958589	2000	1	831	1
960842	2000	0	0	1
963111	2000	0	"""n/a"""	2
965364	2000	1	732	1
967648	2000	1	"""n/a"""	2
969901	2000	1	726	1
972154	2000	1	849	1
974423	2000	1	681	1
976707	2000	0	0	1
978961	2000	0	"""n/a"""	2
981213	2000	1	916	1
983497	2000	1	787	1
985766	2000	1	"""n/a"""	2
988019	2000	1	636	1
990288	2000	1	"""n/a"""	2
992556	2000	1	697	1
994809	2000	1	862	1
997078	2000	0	"""n/a"""	2
999331	2000	1	723	1
1001615	2000	1	832	1
1003868	2000	0	0	1
1006137	2000	0	"""n/a"""	2
1008390	2000	1	553	1
1010674	2000	1	400	1
1012928	2000	0	"""n/a"""	2
1015180	2000	1	792	1
1017449	2000	1	726	1
1019733	2000	1	954	1
1021986	2000	0	0	1
1024255	2000	0	"""n/a"""	2
1026523	2000	0	0	1
1028776	2000	1	808	1
1031029	2000	0	0	1
