onset	duration	ACC	RT	condition
367412	2000	1	862	1
369648	2000	1	450	1
371883	2000	1	467	1
374135	2000	1	"""n/a"""	2
376388	2000	1	793	1
378623	2000	1	546	1
380859	2000	1	817	1
383095	2000	0	"""n/a"""	2
385347	2000	1	467	1
387615	2000	1	419	1
389868	2000	1	587	1
392104	2000	0	"""n/a"""	2
394355	2000	1	426	1
396608	2000	1	537	1
398892	2000	0	"""n/a"""	2
401146	2000	1	406	1
403414	2000	1	373	1
405667	2000	1	876	1
407936	2000	1	883	1
410204	2000	0	"""n/a"""	2
412457	2000	1	474	1
414726	2000	1	304	1
417010	2000	1	"""n/a"""	2
419263	2000	1	614	1
421532	2000	1	"""n/a"""	2
423785	2000	1	722	1
426069	2000	1	484	1
428323	2000	0	"""n/a"""	2
430591	2000	0	"""n/a"""	2
432844	2000	1	582	1
435128	2000	1	687	1
437381	2000	1	855	1
439650	2000	0	"""n/a"""	2
441903	2000	1	587	1
444187	2000	1	"""n/a"""	2
446457	2000	1	693	1
448693	2000	1	764	1
450978	2000	0	"""n/a"""	2
453246	2000	1	628	1
455499	2000	0	788	1
457768	2000	0	"""n/a"""	2
460021	2000	1	647	1
462305	2000	1	413	1
464558	2000	1	499	1
466827	2000	0	"""n/a"""	2
469080	2000	1	392	1
471349	2000	0	"""n/a"""	2
473601	2000	1	675	1
475870	2000	1	904	1
478154	2000	1	534	1
480408	2000	1	"""n/a"""	2
482660	2000	1	804	1
484929	2000	1	759	1
487213	2000	0	0	1
489450	2000	0	0	1
491686	2000	0	"""n/a"""	2
493953	2000	1	534	1
496206	2000	1	638	1
498459	2000	1	699	1
500743	2000	0	"""n/a"""	2
502996	2000	1	609	1
505249	2000	1	441	1
507518	2000	1	377	1
509802	2000	1	700	1
512056	2000	0	"""n/a"""	2
514308	2000	1	603	1
516577	2000	1	530	1
518845	2000	1	606	1
521098	2000	1	938	1
523383	2000	1	"""n/a"""	2
525651	2000	1	620	1
527904	2000	1	454	1
530157	2000	1	594	1
532441	2000	0	"""n/a"""	2
534694	2000	0	0	1
536963	2000	1	"""n/a"""	2
539216	2000	1	491	1
541500	2000	1	801	1
543753	2000	1	668	1
546022	2000	0	"""n/a"""	2
548275	2000	1	752	1
550559	2000	1	812	1
552813	2000	0	"""n/a"""	2
555065	2000	1	508	1
557349	2000	1	531	1
559602	2000	1	895	1
561871	2000	0	"""n/a"""	2
564124	2000	1	583	1
566359	2000	1	835	1
568611	2000	1	"""n/a"""	2
570864	2000	1	455	1
573100	2000	1	"""n/a"""	2
575351	2000	1	928	1
577587	2000	1	893	1
579822	2000	1	777	1
582059	2000	1	"""n/a"""	2
584310	2000	1	940	1
586546	2000	1	899	1
588781	2000	1	982	1
591033	2000	0	"""n/a"""	2
593269	2000	1	603	1
595505	2000	1	852	1
597740	2000	1	820	1
599992	2000	1	"""n/a"""	2
602245	2000	1	493	1
604514	2000	1	478	1
606783	2000	1	"""n/a"""	2
609051	2000	0	"""n/a"""	2
611304	2000	1	949	1
613588	2000	1	735	1
615841	2000	1	739	1
618110	2000	0	"""n/a"""	2
620378	2000	1	430	1
622631	2000	1	858	1
624900	2000	0	"""n/a"""	2
627153	2000	0	329	1
629437	2000	1	669	1
631691	2000	1	"""n/a"""	2
633943	2000	1	755	1
636227	2000	1	"""n/a"""	2
697471	2000	1	337	1
699724	2000	1	535	1
701977	2000	1	865	1
704262	2000	0	"""n/a"""	2
706530	2000	1	547	1
708783	2000	1	509	1
711052	2000	1	"""n/a"""	2
713305	2000	1	639	1
715589	2000	1	608	1
717843	2000	0	"""n/a"""	2
720095	2000	1	562	1
722364	2000	1	549	1
724648	2000	0	0	1
726901	2000	0	"""n/a"""	2
729154	2000	1	773	1
731438	2000	1	588	1
733691	2000	1	753	1
735959	2000	0	"""n/a"""	2
738228	2000	1	"""n/a"""	2
740481	2000	1	609	1
742734	2000	1	628	1
745003	2000	0	0	1
747287	2000	0	"""n/a"""	2
749540	2000	1	726	1
751809	2000	1	"""n/a"""	2
754062	2000	1	948	1
756331	2000	0	0	1
758583	2000	1	531	1
760852	2000	1	568	1
763137	2000	1	"""n/a"""	2
765405	2000	1	723	1
767658	2000	1	416	1
769911	2000	1	403	1
772195	2000	1	"""n/a"""	2
774448	2000	1	764	1
776717	2000	1	"""n/a"""	2
778986	2000	0	0	1
781222	2000	1	748	1
783474	2000	1	926	1
785727	2000	0	"""n/a"""	2
787994	2000	1	799	1
790247	2000	1	561	1
792500	2000	1	939	1
794784	2000	0	0	1
797037	2000	0	"""n/a"""	2
799290	2000	1	589	1
801575	2000	1	681	1
803843	2000	1	"""n/a"""	2
806096	2000	0	0	1
808365	2000	1	"""n/a"""	2
810618	2000	0	0	1
812902	2000	0	0	1
815155	2000	1	617	1
817424	2000	0	"""n/a"""	2
819677	2000	1	659	1
821961	2000	1	614	1
824215	2000	1	"""n/a"""	2
826467	2000	1	748	1
828735	2000	0	0	1
831004	2000	0	"""n/a"""	2
833257	2000	1	344	1
835541	2000	1	"""n/a"""	2
837794	2000	1	336	1
840047	2000	1	501	1
842331	2000	0	"""n/a"""	2
844584	2000	1	921	1
846837	2000	1	861	1
849106	2000	1	944	1
851390	2000	0	"""n/a"""	2
853643	2000	1	678	1
855896	2000	1	736	1
858180	2000	1	"""n/a"""	2
860449	2000	1	896	1
862702	2000	1	705	1
864955	2000	1	645	1
867240	2000	1	"""n/a"""	2
869493	2000	1	755	1
871777	2000	0	0	1
874031	2000	1	"""n/a"""	2
876283	2000	1	984	1
878552	2000	0	0	1
880836	2000	0	0	1
883090	2000	1	"""n/a"""	2
885342	2000	1	712	1
887626	2000	1	752	1
889895	2000	1	"""n/a"""	2
892148	2000	0	0	1
894401	2000	1	876	1
896685	2000	0	0	1
898954	2000	0	0	1
901208	2000	0	"""n/a"""	2
903460	2000	1	407	1
905744	2000	1	"""n/a"""	2
908014	2000	1	436	1
910266	2000	1	858	1
912519	2000	0	0	1
914803	2000	0	"""n/a"""	2
917057	2000	1	630	1
919325	2000	1	570	1
921593	2000	1	"""n/a"""	2
923846	2000	1	313	1
926099	2000	1	535	1
928368	2000	1	551	1
930652	2000	0	"""n/a"""	2
932921	2000	1	635	1
935174	2000	1	597	1
937427	2000	1	693	1
939711	2000	0	0	1
941965	2000	0	"""n/a"""	2
944217	2000	1	816	1
946501	2000	1	751	1
948754	2000	1	828	1
951023	2000	1	"""n/a"""	2
953292	2000	1	"""n/a"""	2
955560	2000	1	651	1
957814	2000	1	"""n/a"""	2
960082	2000	1	625	1
962350	2000	1	669	1
964603	2000	1	664	1
966872	2000	0	"""n/a"""	2
1007161	2000	1	447	1
1009414	2000	1	597	1
1011667	2000	1	669	1
1013936	2000	1	810	1
1016204	2000	0	"""n/a"""	2
1018457	2000	1	785	1
1020742	2000	1	"""n/a"""	2
1023011	2000	1	499	1
1025263	2000	1	643	1
1027532	2000	0	"""n/a"""	2
1029800	2000	0	0	1
1032069	2000	0	0	1
1034322	2000	1	894	1
1036591	2000	0	"""n/a"""	2
1038859	2000	1	532	1
1041112	2000	1	408	1
1043365	2000	1	333	1
1045650	2000	1	"""n/a"""	2
1047919	2000	1	780	1
1050172	2000	1	506	1
1052441	2000	1	"""n/a"""	2
1054709	2000	0	0	1
1056977	2000	1	816	1
1059230	2000	1	966	1
1061499	2000	0	"""n/a"""	2
1063767	2000	1	609	1
1066020	2000	1	574	1
1068273	2000	1	734	1
1070542	2000	0	0	1
1072826	2000	0	"""n/a"""	2
1075079	2000	1	679	1
1077332	2000	1	700	1
1079616	2000	1	590	1
1081870	2000	0	"""n/a"""	2
1084122	2000	1	814	1
1086391	2000	1	455	1
1088675	2000	1	466	1
1090929	2000	1	"""n/a"""	2
1093197	2000	0	0	1
1095465	2000	0	"""n/a"""	2
1097718	2000	0	827	1
1099987	2000	1	"""n/a"""	2
1102256	2000	1	529	1
1104524	2000	1	388	1
1106778	2000	1	"""n/a"""	2
1109046	2000	1	709	1
1111314	2000	0	0	1
1113583	2000	0	0	1
1115837	2000	1	"""n/a"""	2
1118105	2000	1	579	1
1120373	2000	1	836	1
1122627	2000	0	"""n/a"""	2
1124879	2000	1	515	1
1127148	2000	1	455	1
1129432	2000	1	723	1
1131686	2000	1	"""n/a"""	2
1133954	2000	1	864	1
1136222	2000	1	614	1
1138476	2000	1	"""n/a"""	2
1140745	2000	0	"""n/a"""	2
1142997	2000	1	365	1
1145281	2000	1	443	1
1147534	2000	1	724	1
1149803	2000	0	"""n/a"""	2
1152071	2000	1	470	1
1154340	2000	1	"""n/a"""	2
1156610	2000	1	552	1
