onset	duration	ACC	RT	condition
278880	2000	1	513	1
281116	2000	1	510	1
283368	2000	1	570	1
285619	2000	0	"""n/a"""	2
287856	2000	0	545	1
290108	2000	0	0	1
292343	2000	1	681	1
294579	2000	1	630	1
296830	2000	0	"""n/a"""	2
299067	2000	1	828	1
301302	2000	1	729	1
303538	2000	0	435	1
305774	2000	0	"""n/a"""	2
308026	2000	1	666	1
310295	2000	0	793	1
312579	2000	1	"""n/a"""	2
314832	2000	1	764	1
317068	2000	1	633	1
319303	2000	1	683	1
321555	2000	1	"""n/a"""	2
323808	2000	0	0	1
326059	2000	1	806	1
328312	2000	1	"""n/a"""	2
330581	2000	1	764	1
332850	2000	0	"""n/a"""	2
335118	2000	1	563	1
337371	2000	1	467	1
339641	2000	1	347	1
341910	2000	1	"""n/a"""	2
344228	2000	1	603	1
346464	2000	1	558	1
348716	2000	1	726	1
350969	2000	1	"""n/a"""	2
353286	2000	1	500	1
355539	2000	1	615	1
357808	2000	0	"""n/a"""	2
360044	2000	1	831	1
362312	2000	1	"""n/a"""	2
364565	2000	1	531	1
366817	2000	0	0	1
369069	2000	0	"""n/a"""	2
371322	2000	1	310	1
373591	2000	1	543	1
375876	2000	1	603	1
378129	2000	1	816	1
380398	2000	1	"""n/a"""	2
382666	2000	1	744	1
384919	2000	1	615	1
387203	2000	1	547	1
389457	2000	1	"""n/a"""	2
391709	2000	1	647	1
393978	2000	1	335	1
396247	2000	1	487	1
398531	2000	0	"""n/a"""	2
400784	2000	1	706	1
403037	2000	1	502	1
405306	2000	0	"""n/a"""	2
407558	2000	1	522	1
409843	2000	1	"""n/a"""	2
412111	2000	1	"""n/a"""	2
414364	2000	1	692	1
416617	2000	1	389	1
418901	2000	1	706	1
421154	2000	1	953	1
423423	2000	0	"""n/a"""	2
425676	2000	1	666	1
427945	2000	1	535	1
430213	2000	1	832	1
432482	2000	0	"""n/a"""	2
434750	2000	1	648	1
437019	2000	0	0	1
439273	2000	0	"""n/a"""	2
