onset	duration	ACC	RT	condition
282532	2000	1	463	1
284800	2000	1	411	1
287053	2000	1	342	1
289337	2000	1	432	1
291590	2000	1	"""n/a"""	2
293843	2000	1	353	1
296112	2000	1	332	1
298380	2000	0	306	1
300649	2000	0	"""n/a"""	2
302917	2000	1	570	1
305170	2000	1	580	1
307439	2000	1	"""n/a"""	2
309707	2000	0	"""n/a"""	2
311960	2000	1	503	1
314213	2000	1	618	1
316482	2000	1	413	1
318767	2000	1	"""n/a"""	2
321020	2000	1	449	1
323304	2000	1	348	1
325558	2000	1	"""n/a"""	2
327810	2000	1	452	1
330094	2000	0	"""n/a"""	2
332348	2000	1	476	1
334617	2000	0	"""n/a"""	2
336869	2000	1	287	1
339138	2000	1	618	1
341422	2000	1	383	1
343675	2000	1	419	1
345944	2000	0	"""n/a"""	2
348212	2000	1	573	1
350465	2000	1	389	1
352734	2000	1	"""n/a"""	2
354987	2000	1	477	1
357255	2000	1	569	1
359508	2000	1	446	1
361793	2000	1	"""n/a"""	2
364061	2000	1	391	1
366314	2000	1	454	1
368567	2000	1	343	1
370851	2000	1	"""n/a"""	2
373104	2000	1	453	1
375357	2000	1	619	1
377642	2000	1	"""n/a"""	2
379895	2000	1	926	1
382179	2000	1	609	1
384432	2000	0	320	1
386701	2000	0	"""n/a"""	2
388969	2000	1	577	1
391222	2000	1	482	1
393475	2000	1	564	1
395760	2000	0	"""n/a"""	2
398028	2000	1	581	1
400281	2000	1	563	1
402549	2000	0	"""n/a"""	2
404818	2000	1	555	1
407072	2000	1	"""n/a"""	2
409324	2000	1	419	1
411593	2000	1	451	1
413877	2000	1	384	1
416131	2000	0	"""n/a"""	2
418399	2000	0	"""n/a"""	2
420652	2000	1	547	1
422936	2000	1	"""n/a"""	2
425189	2000	1	532	1
427442	2000	1	588	1
429726	2000	0	"""n/a"""	2
431995	2000	1	366	1
434249	2000	0	"""n/a"""	2
436501	2000	1	496	1
438770	2000	1	445	1
441039	2000	1	388	1
443308	2000	1	"""n/a"""	2
445560	2000	1	489	1
447845	2000	1	361	1
450098	2000	1	406	1
452367	2000	1	"""n/a"""	2
454619	2000	1	524	1
456888	2000	1	323	1
459172	2000	0	"""n/a"""	2
461425	2000	1	571	1
463678	2000	1	422	1
465947	2000	1	455	1
468231	2000	1	"""n/a"""	2
470484	2000	1	726	1
472737	2000	1	404	1
475021	2000	0	"""n/a"""	2
477290	2000	1	615	1
479543	2000	1	579	1
481812	2000	0	"""n/a"""	2
484065	2000	1	527	1
486349	2000	1	623	1
488602	2000	1	611	1
490871	2000	1	"""n/a"""	2
493124	2000	1	470	1
495392	2000	1	527	1
497645	2000	1	525	1
499914	2000	1	649	1
502199	2000	0	"""n/a"""	2
504452	2000	1	523	1
