onset	duration	ACC	RT	condition
256684	2000	0	0	1
258920	2000	1	721	1
261155	2000	1	463	1
263407	2000	0	"""n/a"""	2
265660	2000	1	512	1
267895	2000	1	613	1
270131	2000	1	709	1
272382	2000	0	"""n/a"""	2
274651	2000	1	577	1
276888	2000	1	486	1
279124	2000	1	"""n/a"""	2
281391	2000	0	"""n/a"""	2
283660	2000	1	589	1
285913	2000	1	786	1
288166	2000	0	0	1
290450	2000	1	649	1
292704	2000	0	"""n/a"""	2
294956	2000	1	542	1
297240	2000	0	455	1
299493	2000	1	537	1
301762	2000	1	"""n/a"""	2
304031	2000	0	0	1
306299	2000	0	0	1
308568	2000	1	689	1
310822	2000	0	"""n/a"""	2
313074	2000	1	587	1
315358	2000	1	832	1
317627	2000	1	"""n/a"""	2
319880	2000	1	918	1
322133	2000	0	0	1
324418	2000	0	"""n/a"""	2
326686	2000	1	560	1
328955	2000	1	832	1
331208	2000	1	576	1
333477	2000	0	"""n/a"""	2
335745	2000	1	647	1
337998	2000	0	169	1
340251	2000	1	811	1
342536	2000	0	"""n/a"""	2
344789	2000	1	740	1
347057	2000	1	490	1
349326	2000	0	"""n/a"""	2
351579	2000	1	758	1
353863	2000	0	"""n/a"""	2
356116	2000	1	865	1
358369	2000	1	666	1
360638	2000	1	739	1
362922	2000	1	"""n/a"""	2
365175	2000	0	0	1
367411	2000	1	943	1
369663	2000	1	917	1
371915	2000	1	794	1
374184	2000	1	"""n/a"""	2
376437	2000	1	902	1
378721	2000	0	"""n/a"""	2
380974	2000	1	899	1
383227	2000	0	0	1
385463	2000	0	"""n/a"""	2
387730	2000	1	624	1
389984	2000	1	"""n/a"""	2
392236	2000	0	0	1
394471	2000	1	848	1
396739	2000	1	958	1
398993	2000	0	"""n/a"""	2
401245	2000	1	543	1
403529	2000	1	"""n/a"""	2
405798	2000	1	815	1
408051	2000	1	666	1
410319	2000	1	769	1
412572	2000	1	693	1
414841	2000	0	"""n/a"""	2
417094	2000	1	761	1
419378	2000	1	858	1
421615	2000	1	794	1
423900	2000	1	"""n/a"""	2
426153	2000	1	992	1
428405	2000	0	0	1
430656	2000	0	"""n/a"""	2
432909	2000	1	844	1
435162	2000	1	884	1
437446	2000	1	"""n/a"""	2
439699	2000	1	826	1
441952	2000	1	920	1
444187	2000	1	617	1
446439	2000	1	"""n/a"""	2
448692	2000	0	0	1
450927	2000	1	764	1
453163	2000	1	892	1
455399	2000	0	"""n/a"""	2
457634	2000	1	560	1
459869	2000	0	0	1
462106	2000	1	"""n/a"""	2
464357	2000	1	600	1
466609	2000	0	"""n/a"""	2
468845	2000	1	912	1
471081	2000	0	0	1
473349	2000	1	"""n/a"""	2
475602	2000	1	732	1
477886	2000	0	0	1
480123	2000	1	735	1
482408	2000	1	"""n/a"""	2
484661	2000	1	694	1
486945	2000	1	"""n/a"""	2
489198	2000	1	794	1
491451	2000	1	814	1
493735	2000	0	"""n/a"""	2
496004	2000	1	598	1
498257	2000	0	854	1
500510	2000	0	0	1
502795	2000	0	"""n/a"""	2
505063	2000	0	"""n/a"""	2
507316	2000	1	787	1
509552	2000	1	634	1
511788	2000	0	0	1
514024	2000	1	"""n/a"""	2
516275	2000	0	0	1
518543	2000	1	719	1
520796	2000	0	0	1
523032	2000	1	187	1
525285	2000	1	"""n/a"""	2
595787	2000	1	663	1
598056	2000	1	466	1
600308	2000	1	"""n/a"""	2
602561	2000	1	475	1
604813	2000	1	658	1
607065	2000	1	580	1
609333	2000	0	"""n/a"""	2
611602	2000	1	786	1
613855	2000	1	689	1
616108	2000	1	790	1
618392	2000	0	"""n/a"""	2
620645	2000	1	542	1
622898	2000	1	905	1
625167	2000	1	762	1
627451	2000	1	927	1
629705	2000	0	"""n/a"""	2
631957	2000	1	575	1
634226	2000	1	599	1
636510	2000	1	"""n/a"""	2
638763	2000	1	825	1
641031	2000	1	952	1
643300	2000	0	"""n/a"""	2
645553	2000	1	404	1
647806	2000	1	731	1
650075	2000	1	936	1
652359	2000	0	"""n/a"""	2
654612	2000	1	466	1
656865	2000	0	0	1
659149	2000	1	850	1
661403	2000	0	"""n/a"""	2
663655	2000	1	635	1
665924	2000	0	0	1
668193	2000	1	606	1
670477	2000	1	"""n/a"""	2
672730	2000	0	0	1
674983	2000	1	423	1
677268	2000	1	"""n/a"""	2
679536	2000	1	708	1
681789	2000	0	0	1
684042	2000	1	861	1
686326	2000	0	"""n/a"""	2
688595	2000	1	749	1
690849	2000	0	"""n/a"""	2
693117	2000	1	"""n/a"""	2
695370	2000	1	655	1
697654	2000	0	"""n/a"""	2
699907	2000	1	706	1
702160	2000	1	801	1
704444	2000	1	733	1
706698	2000	0	"""n/a"""	2
708950	2000	1	676	1
711219	2000	1	797	1
713503	2000	0	"""n/a"""	2
715756	2000	1	665	1
718025	2000	0	"""n/a"""	2
720293	2000	1	761	1
722562	2000	0	0	1
724815	2000	1	821	1
727068	2000	1	706	1
729352	2000	1	"""n/a"""	2
731622	2000	1	924	1
733875	2000	1	"""n/a"""	2
736142	2000	1	"""n/a"""	2
738411	2000	1	628	1
740664	2000	1	646	1
742917	2000	1	514	1
745201	2000	1	"""n/a"""	2
747470	2000	0	684	1
749723	2000	1	785	1
751976	2000	1	921	1
754260	2000	0	"""n/a"""	2
756513	2000	1	543	1
758766	2000	1	917	1
761051	2000	1	"""n/a"""	2
763319	2000	1	599	1
765572	2000	1	947	1
767825	2000	1	350	1
770094	2000	1	765	1
772378	2000	1	"""n/a"""	2
774631	2000	1	594	1
776884	2000	1	580	1
779168	2000	1	506	1
781437	2000	1	"""n/a"""	2
783690	2000	1	604	1
785959	2000	0	"""n/a"""	2
788227	2000	1	498	1
790480	2000	0	0	1
792749	2000	1	"""n/a"""	2
795002	2000	1	452	1
797286	2000	1	429	1
799555	2000	1	301	1
801809	2000	1	"""n/a"""	2
804061	2000	1	494	1
806345	2000	1	"""n/a"""	2
808615	2000	1	337	1
810867	2000	1	449	1
813120	2000	1	711	1
815404	2000	1	684	1
817658	2000	0	"""n/a"""	2
819910	2000	1	528	1
822194	2000	1	536	1
824463	2000	0	"""n/a"""	2
826716	2000	1	504	1
828985	2000	0	0	1
831253	2000	1	645	1
833522	2000	0	"""n/a"""	2
835775	2000	1	878	1
838028	2000	1	712	1
840312	2000	0	0	1
842566	2000	1	"""n/a"""	2
844818	2000	1	609	1
847087	2000	1	814	1
849371	2000	1	"""n/a"""	2
851641	2000	0	0	1
853893	2000	1	569	1
856161	2000	0	"""n/a"""	2
858430	2000	1	680	1
860683	2000	1	797	1
862936	2000	1	861	1
865220	2000	0	"""n/a"""	2
973045	2000	1	747	1
975330	2000	0	"""n/a"""	2
977598	2000	1	547	1
979852	2000	1	"""n/a"""	2
982120	2000	1	576	1
984373	2000	1	566	1
986657	2000	1	493	1
988911	2000	1	"""n/a"""	2
991163	2000	1	854	1
993415	2000	1	685	1
995683	2000	1	"""n/a"""	2
997936	2000	1	702	1
1000188	2000	1	725	1
1002456	2000	0	"""n/a"""	2
1004709	2000	1	631	1
1006962	2000	1	873	1
1009231	2000	0	0	1
1011515	2000	0	"""n/a"""	2
1013768	2000	1	897	1
1016021	2000	0	0	1
1018290	2000	0	0	1
1020574	2000	0	"""n/a"""	2
1022827	2000	1	562	1
1025080	2000	1	445	1
1027364	2000	0	"""n/a"""	2
1029617	2000	1	730	1
1031886	2000	0	"""n/a"""	2
1034139	2000	1	885	1
1036423	2000	1	942	1
1038676	2000	1	824	1
1040945	2000	0	"""n/a"""	2
1043214	2000	1	"""n/a"""	2
1045483	2000	1	853	1
1047735	2000	1	805	1
1050004	2000	1	"""n/a"""	2
1052257	2000	1	611	1
1054526	2000	0	0	1
