onset	duration	ACC	RT	condition
455881	2000	1	712	1
458149	2000	0	"""n/a"""	2
460385	2000	1	491	1
462621	2000	1	459	1
464857	2000	1	"""n/a"""	2
467124	2000	1	594	1
469361	2000	1	455	1
471596	2000	1	"""n/a"""	2
473849	2000	1	557	1
476084	2000	1	458	1
478320	2000	1	441	1
480588	2000	1	"""n/a"""	2
482841	2000	1	451	1
485109	2000	0	"""n/a"""	2
487345	2000	1	599	1
489581	2000	1	414	1
491816	2000	1	818	1
494052	2000	1	612	1
496287	2000	0	"""n/a"""	2
498540	2000	1	369	1
500824	2000	1	594	1
503061	2000	1	583	1
505297	2000	1	"""n/a"""	2
507564	2000	1	416	1
509817	2000	0	996	1
512070	2000	1	489	1
514355	2000	1	"""n/a"""	2
516608	2000	1	458	1
518860	2000	1	359	1
521095	2000	1	409	1
523363	2000	0	"""n/a"""	2
525632	2000	1	617	1
527885	2000	0	656	1
530154	2000	1	494	1
532422	2000	0	"""n/a"""	2
534676	2000	1	605	1
536944	2000	1	873	1
539197	2000	1	566	1
541481	2000	1	532	1
543735	2000	0	"""n/a"""	2
545987	2000	1	458	1
548256	2000	1	401	1
550540	2000	1	"""n/a"""	2
552793	2000	1	395	1
555046	2000	1	495	1
557330	2000	1	517	1
559584	2000	1	"""n/a"""	2
561836	2000	1	418	1
564105	2000	1	403	1
566390	2000	0	"""n/a"""	2
568658	2000	1	563	1
570911	2000	0	760	1
573179	2000	0	"""n/a"""	2
575448	2000	1	730	1
577702	2000	1	"""n/a"""	2
579970	2000	1	"""n/a"""	2
582238	2000	1	557	1
584491	2000	1	734	1
586744	2000	1	380	1
589029	2000	1	"""n/a"""	2
591282	2000	1	432	1
593566	2000	1	600	1
595820	2000	0	"""n/a"""	2
598072	2000	1	564	1
600356	2000	0	"""n/a"""	2
602625	2000	1	601	1
604878	2000	1	396	1
607131	2000	1	604	1
609415	2000	0	"""n/a"""	2
611668	2000	1	520	1
613921	2000	0	0	1
616205	2000	1	"""n/a"""	2
618474	2000	1	"""n/a"""	2
620727	2000	1	808	1
622963	2000	1	598	1
625199	2000	0	0	1
627434	2000	1	83	1
629686	2000	1	"""n/a"""	2
631939	2000	1	385	1
634191	2000	1	487	1
636427	2000	0	"""n/a"""	2
638662	2000	1	574	1
640897	2000	1	523	1
643133	2000	1	687	1
645384	2000	0	"""n/a"""	2
647621	2000	1	514	1
649857	2000	1	384	1
652109	2000	1	498	1
654345	2000	0	"""n/a"""	2
656580	2000	1	409	1
658815	2000	1	470	1
661051	2000	1	346	1
663287	2000	0	"""n/a"""	2
665522	2000	1	254	1
667758	2000	1	"""n/a"""	2
670010	2000	1	609	1
672245	2000	1	564	1
674497	2000	1	"""n/a"""	2
676750	2000	1	789	1
678985	2000	1	338	1
681221	2000	1	590	1
683456	2000	1	660	1
685708	2000	0	"""n/a"""	2
687961	2000	1	714	1
690213	2000	1	441	1
692465	2000	1	458	1
694733	2000	0	"""n/a"""	2
696986	2000	1	544	1
699239	2000	1	530	1
701523	2000	0	"""n/a"""	2
703792	2000	1	358	1
706046	2000	1	"""n/a"""	2
708298	2000	0	769	1
710567	2000	0	473	1
712851	2000	1	525	1
715105	2000	0	"""n/a"""	2
717357	2000	1	709	1
719641	2000	1	517	1
721894	2000	1	577	1
724163	2000	0	"""n/a"""	2
760950	2000	0	0	1
763218	2000	0	"""n/a"""	2
765471	2000	1	520	1
767723	2000	1	417	1
769975	2000	1	292	1
772228	2000	1	363	1
774497	2000	1	"""n/a"""	2
776749	2000	0	601	1
779034	2000	1	246	1
781287	2000	1	291	1
783571	2000	1	"""n/a"""	2
785824	2000	1	460	1
788077	2000	1	474	1
790346	2000	1	483	1
792630	2000	0	"""n/a"""	2
794883	2000	1	435	1
797136	2000	1	683	1
799421	2000	0	"""n/a"""	2
801689	2000	1	398	1
803942	2000	1	540	1
806195	2000	1	632	1
808479	2000	1	641	1
810748	2000	1	"""n/a"""	2
813001	2000	1	911	1
815270	2000	1	"""n/a"""	2
817523	2000	1	399	1
819791	2000	1	661	1
822044	2000	1	557	1
824328	2000	1	"""n/a"""	2
826597	2000	1	440	1
828850	2000	1	532	1
831119	2000	1	"""n/a"""	2
833372	2000	1	415	1
835640	2000	1	333	1
837893	2000	1	769	1
840178	2000	0	"""n/a"""	2
842446	2000	1	"""n/a"""	2
844699	2000	1	649	1
846952	2000	1	489	1
849236	2000	1	406	1
851490	2000	1	"""n/a"""	2
853742	2000	1	477	1
856011	2000	1	870	1
858296	2000	1	"""n/a"""	2
860549	2000	1	509	1
862818	2000	0	"""n/a"""	2
865070	2000	0	0	1
867339	2000	1	444	1
869623	2000	1	489	1
871877	2000	0	"""n/a"""	2
874129	2000	1	511	1
876413	2000	1	475	1
878667	2000	0	"""n/a"""	2
880919	2000	1	449	1
883188	2000	1	820	1
885472	2000	1	369	1
887726	2000	1	"""n/a"""	2
889978	2000	1	555	1
892247	2000	1	428	1
894531	2000	0	"""n/a"""	2
896784	2000	1	669	1
899037	2000	1	501	1
901322	2000	1	"""n/a"""	2
903575	2000	1	471	1
905843	2000	1	703	1
908096	2000	1	395	1
910380	2000	0	"""n/a"""	2
912649	2000	0	"""n/a"""	2
914902	2000	1	574	1
917155	2000	1	587	1
919440	2000	1	"""n/a"""	2
921708	2000	1	892	1
923961	2000	1	444	1
926214	2000	1	467	1
928499	2000	1	"""n/a"""	2
930767	2000	1	604	1
933021	2000	0	"""n/a"""	2
935273	2000	1	970	1
937557	2000	1	420	1
939810	2000	1	689	1
942079	2000	0	"""n/a"""	2
944332	2000	1	614	1
946616	2000	1	510	1
948870	2000	1	"""n/a"""	2
951122	2000	1	406	1
953406	2000	0	0	1
955660	2000	0	"""n/a"""	2
957912	2000	1	710	1
960197	2000	0	"""n/a"""	2
962450	2000	1	386	1
964734	2000	1	503	1
966987	2000	1	427	1
969256	2000	0	"""n/a"""	2
971509	2000	1	372	1
973793	2000	1	564	1
976046	2000	1	461	1
978299	2000	1	395	1
980583	2000	0	"""n/a"""	2
982836	2000	1	459	1
985089	2000	1	478	1
987358	2000	1	781	1
989642	2000	0	"""n/a"""	2
991895	2000	1	768	1
994148	2000	1	562	1
996417	2000	1	291	1
998701	2000	1	"""n/a"""	2
1000954	2000	1	416	1
1003207	2000	1	607	1
1005476	2000	1	678	1
1007744	2000	1	441	1
1010013	2000	0	"""n/a"""	2
1012281	2000	0	0	1
1014534	2000	1	"""n/a"""	2
1016787	2000	1	92	1
1019056	2000	1	371	1
1021325	2000	1	780	1
1023609	2000	1	"""n/a"""	2
1025862	2000	1	527	1
1028115	2000	0	359	1
1030399	2000	1	"""n/a"""	2
1062515	2000	1	228	1
