onset	duration	ACC	RT	condition
330452	2000	1	564	1
332687	2000	1	468	1
334923	2000	1	281	1
337174	2000	0	"""n/a"""	2
339427	2000	1	693	1
341680	2000	1	688	1
343949	2000	1	407	1
346218	2000	1	247	1
348487	2000	0	"""n/a"""	2
350723	2000	0	"""n/a"""	2
352974	2000	0	796	1
355226	2000	1	748	1
357479	2000	1	642	1
359715	2000	1	"""n/a"""	2
361966	2000	1	717	1
364202	2000	1	"""n/a"""	2
366454	2000	1	939	1
368722	2000	0	"""n/a"""	2
370975	2000	1	884	1
373211	2000	1	285	1
375446	2000	1	570	1
377683	2000	1	"""n/a"""	2
379934	2000	0	0	1
382170	2000	1	319	1
384438	2000	0	"""n/a"""	2
386691	2000	1	546	1
388927	2000	1	397	1
391196	2000	0	"""n/a"""	2
393448	2000	1	601	1
395732	2000	1	621	1
397986	2000	0	"""n/a"""	2
400238	2000	1	542	1
402507	2000	1	680	1
404791	2000	1	"""n/a"""	2
407044	2000	1	740	1
409297	2000	1	603	1
411581	2000	0	"""n/a"""	2
413850	2000	1	441	1
416103	2000	1	438	1
418372	2000	1	629	1
420640	2000	0	"""n/a"""	2
422909	2000	1	438	1
425162	2000	1	348	1
427415	2000	1	609	1
429699	2000	1	"""n/a"""	2
431952	2000	0	0	1
434205	2000	1	355	1
436474	2000	1	375	1
438758	2000	1	535	1
441012	2000	1	"""n/a"""	2
443264	2000	1	900	1
445548	2000	0	"""n/a"""	2
447801	2000	1	822	1
450054	2000	1	491	1
452323	2000	1	542	1
454607	2000	0	"""n/a"""	2
456860	2000	1	700	1
459113	2000	1	650	1
461382	2000	0	0	1
463666	2000	0	"""n/a"""	2
465919	2000	1	617	1
468172	2000	1	674	1
470456	2000	1	"""n/a"""	2
472709	2000	0	0	1
474945	2000	1	829	1
477198	2000	0	"""n/a"""	2
479465	2000	1	592	1
481718	2000	1	762	1
483971	2000	0	300	1
486255	2000	1	588	1
488509	2000	1	"""n/a"""	2
490761	2000	1	716	1
493030	2000	1	904	1
495314	2000	0	"""n/a"""	2
497567	2000	1	839	1
499820	2000	1	574	1
502104	2000	0	"""n/a"""	2
504373	2000	1	550	1
506626	2000	0	244	1
508879	2000	1	655	1
511163	2000	0	"""n/a"""	2
513416	2000	0	0	1
515669	2000	1	449	1
517938	2000	1	457	1
520222	2000	1	"""n/a"""	2
522475	2000	1	654	1
524711	2000	1	496	1
526947	2000	1	680	1
529199	2000	1	461	1
531435	2000	0	"""n/a"""	2
533670	2000	1	705	1
535905	2000	1	731	1
538141	2000	1	485	1
540392	2000	1	"""n/a"""	2
542646	2000	1	"""n/a"""	2
544898	2000	1	507	1
547133	2000	1	649	1
549369	2000	1	948	1
551605	2000	0	"""n/a"""	2
553840	2000	1	533	1
556076	2000	1	"""n/a"""	2
558328	2000	1	803	1
560564	2000	0	"""n/a"""	2
562799	2000	1	565	1
565034	2000	1	471	1
567270	2000	1	477	1
569521	2000	0	"""n/a"""	2
571758	2000	1	658	1
573993	2000	1	655	1
576261	2000	0	"""n/a"""	2
578498	2000	0	0	1
580734	2000	1	"""n/a"""	2
582986	2000	1	476	1
585221	2000	1	978	1
587457	2000	1	713	1
589693	2000	0	"""n/a"""	2
591928	2000	1	537	1
594163	2000	1	877	1
596399	2000	1	793	1
598634	2000	0	"""n/a"""	2
659578	2000	1	441	1
661830	2000	1	442	1
664099	2000	1	"""n/a"""	2
666352	2000	1	721	1
668620	2000	1	484	1
670889	2000	1	"""n/a"""	2
673142	2000	1	408	1
675394	2000	1	568	1
677663	2000	0	0	1
679915	2000	1	722	1
682183	2000	0	"""n/a"""	2
684436	2000	1	892	1
686688	2000	1	890	1
688941	2000	1	751	1
691209	2000	0	"""n/a"""	2
693462	2000	1	511	1
695714	2000	1	680	1
697950	2000	0	0	1
700218	2000	0	"""n/a"""	2
702471	2000	0	0	1
704740	2000	1	832	1
707024	2000	1	626	1
709278	2000	1	"""n/a"""	2
711530	2000	1	723	1
713799	2000	1	744	1
716051	2000	0	0	1
718286	2000	1	683	1
720554	2000	0	"""n/a"""	2
722807	2000	1	702	1
725043	2000	1	713	1
727295	2000	1	946	1
729548	2000	0	"""n/a"""	2
731800	2000	0	0	1
734069	2000	1	827	1
736353	2000	0	"""n/a"""	2
738606	2000	1	751	1
740859	2000	1	545	1
743128	2000	0	0	1
745412	2000	0	"""n/a"""	2
747665	2000	1	794	1
749918	2000	1	736	1
752187	2000	1	807	1
754471	2000	1	"""n/a"""	2
756724	2000	0	874	1
758993	2000	1	"""n/a"""	2
761246	2000	0	0	1
763498	2000	1	821	1
765783	2000	1	322	1
768052	2000	0	"""n/a"""	2
770320	2000	1	897	1
772573	2000	1	613	1
774842	2000	0	"""n/a"""	2
777110	2000	1	"""n/a"""	2
779379	2000	1	853	1
781633	2000	0	"""n/a"""	2
783900	2000	1	496	1
786169	2000	1	653	1
788423	2000	0	"""n/a"""	2
790675	2000	0	0	1
792943	2000	0	"""n/a"""	2
795196	2000	0	0	1
797448	2000	0	909	1
799700	2000	1	673	1
801968	2000	1	"""n/a"""	2
804222	2000	1	443	1
806490	2000	1	990	1
808743	2000	1	873	1
811027	2000	1	"""n/a"""	2
813280	2000	1	532	1
815533	2000	0	0	1
817802	2000	1	726	1
820086	2000	0	"""n/a"""	2
822340	2000	0	"""n/a"""	2
824592	2000	1	543	1
826861	2000	1	596	1
829129	2000	1	536	1
831398	2000	1	"""n/a"""	2
